,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,1.8624,0.96975,0.89265,4,2,2.0,52,2,54,0.76,0.7979999999999999,0.7421,0.7904,445102.06,344160.13,-0.2744368457017603,-0.22564668153232836,-0.2982712740060492,-0.235216132548479,-0.039220713153281295
1,1514894400,1.83296923,2.0,-0.16703077,39,2,19.5,247,38,285,0.7629,0.774,0.7468,0.76,493956.09,375331.84,-0.2706283178859534,-0.2561834053924099,-0.29195786731456946,-0.2744368457017603,0.003808527815806928
2,1514898000,1.9362541,2.0152875,-0.07903339999999999,61,8,7.625,263,31,294,0.7718,0.78,0.7438,0.7576,385811.9,294774.65,-0.2590298298786186,-0.2484613592984996,-0.29598309749116736,-0.2775997371102685,0.018569907231649863
3,1514901600,1.86380333,1.7304,0.13340333,60,5,12.0,366,41,407,0.762,0.79,0.7596,0.7718,305473.14,234569.15,-0.2718087232954908,-0.23572233352106983,-0.27496330004400615,-0.2590298298786186,-0.012778893416872161
4,1514905200,1.68905652,1.868525,-0.17946848,46,8,5.75,325,34,359,0.77,0.7794,0.7569,0.765,242098.0,185755.28,-0.2613647641344075,-0.24923088607752822,-0.27852413466701526,-0.2678794451556012,0.00651468102119368
5,1514908800,1.81984902,1.60822143,0.21162759,102,14,7.2857,404,43,447,0.7656,0.774,0.7569,0.765,184042.03,140442.82,-0.2670954388433926,-0.2561834053924099,-0.27852413466701526,-0.2678794451556012,0.0007840063122085961
6,1514912400,1.86589595,1.30056667,0.56532928,74,9,8.2222,353,38,391,0.7657,0.78,0.7559999999999999,0.76,210698.12,161836.81,-0.2669648308630592,-0.2484613592984996,-0.2797139028026042,-0.2744368457017603,0.00747201483870108
7,1514916000,1.80744026,1.58305833,0.22438193,77,24,3.2083,363,30,393,0.7490000000000001,0.789,0.737,0.7657,803054.4,613748.5,-0.2890162954649174,-0.23698895813626278,-0.3051673867928005,-0.2669648308630592,-0.022051464601858195
8,1514919600,1.78818986,1.70648696,0.0817029,69,23,3.0,344,33,377,0.7624,0.7656,0.7,0.7490000000000001,948871.34,693404.66,-0.27128392664214473,-0.2670954388433926,-0.35667494393873245,-0.2890162954649174,0.01773236882277268
9,1514923200,1.53770635,1.77927857,-0.24157222,63,14,4.5,270,39,309,0.76,0.765,0.7355,0.76,395448.28,296350.39,-0.2744368457017603,-0.2678794451556012,-0.30720473894064476,-0.2744368457017603,0.0
10,1514926800,1.77704333,2.0198,-0.24275667,60,8,7.5,297,39,336,0.7825,0.7875,0.75,0.76,269154.95,207750.74,-0.2452613565678288,-0.23889190828234896,-0.2876820724517809,-0.2744368457017603,0.029175489133931504
11,1514930400,1.92605075,1.6113,0.31475075,67,5,13.4,287,20,307,0.77,0.7825,0.7543,0.7825,128855.04,98944.78,-0.2613647641344075,-0.2452613565678288,-0.2819651121225519,-0.2452613565678288,-0.016103407566578715
12,1514934000,1.81844828,1.52752857,0.2909197,58,7,8.2857,294,39,333,0.762,0.78,0.7559999999999999,0.7559999999999999,77110.21,59449.89,-0.2718087232954908,-0.2484613592984996,-0.2797139028026042,-0.2797139028026042,0.007905179507113447
13,1514937600,1.81110741,1.96534286,-0.15423545,54,14,3.8571,255,37,292,0.7942,0.8127,0.7601,0.762,502475.19,396542.35,-0.23041996028498593,-0.20739324122297795,-0.2743052754101423,-0.2718087232954908,0.04138876301050484
14,1514941200,2.00173714,2.4958,-0.49406286,70,9,7.7778,299,32,331,0.85,0.8706,0.7941,0.7942,557230.22,472119.69,-0.16251892949777494,-0.13857264986393983,-0.23054588108097174,-0.23041996028498593,0.06790103078721099
15,1514944800,1.88249048,2.00150435,-0.11901387,84,23,3.6522,318,57,375,0.855,0.871,0.8220000000000001,0.8490000000000001,393888.81,334869.65,-0.15665381004537685,-0.13811330212963427,-0.19601488392595706,-0.16369609267078963,0.007042282625412788
16,1514948400,1.94652353,1.1790625,0.76746103,68,16,4.25,355,40,395,0.87,0.8731,0.855,0.855,315236.34,272932.27,-0.13926206733350766,-0.1357051821653751,-0.15665381004537685,-0.15665381004537685,0.01739174271186919
17,1514952000,1.7665125,1.69153077,0.07498173,128,39,3.2821,537,81,618,0.883,0.91,0.872,0.872,735039.95,656246.93,-0.12443007837817703,-0.09431067947124129,-0.13696585507315742,-0.13696585507315742,0.012535776694980391
18,1514955600,1.34695306,1.31162,0.03533306,98,10,9.8,421,55,476,0.9039,0.91,0.88,0.883,262997.41,234720.83,-0.10103654417777178,-0.09431067947124129,-0.12783337150988489,-0.12443007837817703,0.023393534200405255
19,1514959200,1.36045327,1.65306429,-0.29261101,107,14,7.6429,414,50,464,0.9,0.904,0.89,0.9039,194548.95,175240.06,-0.10536051565782628,-0.10092591858996053,-0.11653381625595151,-0.10103654417777178,-0.004323971480054506
20,1514962800,1.53529478,1.29005882,0.24523596,115,17,6.7647,322,56,378,0.9583,0.9782,0.89,0.9,753806.36,713862.11,-0.0425943976324205,-0.02204113087688028,-0.11653381625595151,-0.10536051565782628,0.06276611802540578
21,1514966400,1.24235135,2.242872,-1.00052065,111,25,4.44,337,47,384,0.957,0.9776,0.95,0.95,484947.14,466023.64,-0.04395188752918283,-0.02265469056480615,-0.05129329438755058,-0.05129329438755058,0.007341406858367747
22,1514970000,1.1056,1.61368462,-0.50808462,134,13,10.3077,361,48,409,0.9926,0.9926,0.9215,0.957,880189.48,842203.34,-0.007427515828796584,-0.007427515828796584,-0.08175250187225909,-0.04395188752918283,0.03652437170038625
23,1514973600,1.17086635,1.10439412,0.06647223,104,17,6.1176,398,62,460,0.909,1.0,0.8742,0.999,1319689.67,1226508.85,-0.09541018480465818,0.0,-0.13444609655292292,-0.0010005003335835344,-0.09440968447107465
24,1514977200,1.06203143,1.41218667,-0.35015524,105,15,7.0,323,44,367,0.97,0.9776,0.909,0.91,539447.01,513626.33,-0.030459207484708574,-0.02265469056480615,-0.09541018480465818,-0.09431067947124129,0.06385147198653271
25,1514980800,1.95207586,1.34643571,0.60564015,58,14,4.1429,370,54,424,0.96,0.988,0.951,0.97,774547.26,750048.85,-0.040821994520255166,-0.012072581234269249,-0.05024121643674679,-0.030459207484708574,-0.010362787035546592
26,1514984400,1.94225972,1.66462143,0.27763829,72,14,5.1429,375,64,439,0.985,0.985,0.951,0.973,150758.96,146549.71,-0.015113637810048184,-0.015113637810048184,-0.05024121643674679,-0.027371196796132015,0.012257558986083831
27,1514988000,2.01898502,1.71653846,0.30244656,247,26,9.5,558,78,636,1.05,1.05,0.983,0.985,838476.18,848229.69,0.04879016416943204,0.04879016416943204,-0.017146158834970514,-0.015113637810048184,0.06390380197948023
28,1514991600,2.31548214,1.84155,0.47393214,224,20,11.2,616,77,693,1.04,1.08,1.02,1.06,1072060.3,1131771.77,0.03922071315328133,0.0769610411361284,0.01980262729617973,0.058268908123975824,-0.019048194970694494
29,1514995200,1.83444691,1.92010667,-0.08565975,81,15,5.4,356,42,398,1.0,1.04,0.982,1.04,850513.17,857922.96,0.0,0.03922071315328133,-0.01816397062767118,0.03922071315328133,-0.03922071315328133
30,1514998800,1.49677534,2.05237143,-0.55559609,146,14,10.4286,468,51,519,1.05,1.06,1.0,1.0,677355.76,705189.32,0.04879016416943204,0.058268908123975824,0.0,0.0,0.04879016416943204
31,1515002400,1.19617391,1.74308667,-0.54691275,184,15,12.2667,602,61,663,1.07,1.07,1.03,1.04,671575.1,708296.28,0.06765864847381486,0.06765864847381486,0.02955880224154443,0.03922071315328133,0.028437935320533535
32,1515006000,1.89235079,1.35114667,0.54120413,126,15,8.4,413,56,469,1.06,1.09,1.05,1.06,515747.73,551755.55,0.058268908123975824,0.08617769624105241,0.04879016416943204,0.058268908123975824,0.0
33,1515009600,1.87198759,1.61623333,0.25575426,137,12,11.4167,432,38,470,1.08,1.09,1.04,1.06,415650.94,440557.77,0.0769610411361284,0.08617769624105241,0.03922071315328133,0.058268908123975824,0.01869213301215257
34,1515013200,1.82423717,1.15964375,0.66459342,113,16,7.0625,375,49,424,1.03,1.08,1.02,1.08,776963.66,816429.81,0.02955880224154443,0.0769610411361284,0.01980262729617973,0.0769610411361284,-0.04740223889458396
35,1515016800,1.59126723,2.70741257,-1.11614534,119,191,0.623,525,45,570,1.02,1.05,1.01,1.03,482993.16,500052.72,0.01980262729617973,0.04879016416943204,0.009950330853168092,0.02955880224154443,-0.009756174945364699
36,1515020400,1.77592237,1.49509,0.28083237,76,10,7.6,379,55,434,1.1,1.1,1.0,1.02,1448967.79,1508223.19,0.09531017980432493,0.09531017980432493,0.0,0.01980262729617973,0.0755075525081452
37,1515024000,1.88990991,2.14457857,-0.25466866,111,14,7.9286,522,48,570,1.22,1.24,1.05,1.11,786704.72,892622.07,0.19885085874516517,0.2151113796169455,0.04879016416943204,0.10436001532424286,0.09449084342092232
38,1515027600,2.04040252,1.52047297,0.51992954,318,37,8.5946,853,85,938,1.32,1.38,1.17,1.18,2000735.62,2595337.23,0.27763173659827955,0.3220834991691132,0.1570037488096647,0.16551443847757333,0.11211729812070623
39,1515031200,1.81262397,1.9035,-0.09087603,146,27,5.4074,689,77,766,1.29,1.34,1.26,1.32,608595.94,798656.58,0.25464221837358075,0.29266961396282004,0.23111172096338664,0.27763173659827955,-0.0229895182246988
40,1515034800,1.91461885,1.11852727,0.79609158,122,11,11.0909,411,50,461,1.34,1.34,1.28,1.28,185109.96,242824.32,0.29266961396282004,0.29266961396282004,0.2468600779315258,0.2468600779315258,0.04580953603129423
41,1515038400,1.94579907,1.14585714,0.79994193,108,14,7.7143,408,35,443,1.34,1.34,1.34,1.34,0.0,0.0,0.29266961396282004,0.29266961396282004,0.29266961396282004,0.29266961396282004,0.0
42,1515042000,1.74808571,1.41074286,0.33734286,98,14,7.0,354,133,487,1.25,1.34,1.19,1.34,185138.41,227672.51,0.22314355131420976,0.29266961396282004,0.17395330712343798,0.29266961396282004,-0.06952606264861028
43,1515045600,1.86101238,1.78159091,0.07942147,105,11,9.5455,440,77,517,1.24,1.26,1.21,1.24,386790.89,475957.16,0.2151113796169455,0.23111172096338664,0.1906203596086497,0.2151113796169455,0.0
44,1515049200,1.98770942,1.66698125,0.32072817,138,16,8.625,463,52,515,1.29,1.29,1.19,1.24,304289.66,369809.07,0.25464221837358075,0.25464221837358075,0.17395330712343798,0.2151113796169455,0.03953083875663527
45,1515052800,1.74962308,2.02114,-0.27151692,130,10,13.0,489,67,556,1.22,1.32,1.2,1.29,599112.5,754050.15,0.19885085874516517,0.27763173659827955,0.1823215567939546,0.25464221837358075,-0.05579135962841558
46,1515056400,1.89905102,1.73137857,0.16767245,98,14,7.0,444,64,508,1.2,1.23,1.18,1.22,288037.72,345613.65,0.1823215567939546,0.20701416938432612,0.16551443847757333,0.19885085874516517,-0.01652930195121058
47,1515060000,1.93398218,2.27736154,-0.34337936,101,13,7.7692,369,40,409,1.25,1.27,1.22,1.22,188085.83,234172.34,0.22314355131420976,0.23901690047049992,0.19885085874516517,0.19885085874516517,0.024292692569044594
48,1515063600,1.90566702,1.94122857,-0.03556155,94,7,13.4286,365,53,418,1.25,1.26,1.22,1.25,568814.9,706857.13,0.22314355131420976,0.23111172096338664,0.19885085874516517,0.22314355131420976,0.0
49,1515067200,2.04237905,2.16059,-0.11821095,105,10,10.5,405,54,459,1.25,1.27,1.24,1.25,517067.84,647009.35,0.22314355131420976,0.23901690047049992,0.2151113796169455,0.22314355131420976,0.0
50,1515070800,1.76753298,1.31308182,0.45445116,94,11,8.5455,350,61,411,1.21,1.25,1.2,1.25,356666.61,439918.13,0.1906203596086497,0.22314355131420976,0.1823215567939546,0.22314355131420976,-0.03252319170556006
51,1515074400,1.84055,1.7272,0.11335,120,11,10.9091,509,57,566,1.13,1.23,1.13,1.21,809805.36,963616.52,0.12221763272424911,0.20701416938432612,0.12221763272424911,0.1906203596086497,-0.06840272688440059
52,1515078000,1.60034492,1.72610909,-0.12576418,118,22,5.3636,435,47,482,1.14,1.2,1.1,1.13,735488.2,844701.01,0.131028262406404,0.1823215567939546,0.09531017980432493,0.12221763272424911,0.008810629682154889
53,1515081600,1.88459504,1.76405714,0.12053789,141,21,6.7143,472,36,508,1.14,1.14,1.11,1.14,234108.96,264051.37,0.131028262406404,0.131028262406404,0.10436001532424286,0.131028262406404,0.0
54,1515085200,2.04777606,1.89564167,0.15213439,142,12,11.8333,1216,42,1258,1.14,1.14,1.14,1.14,0.0,0.0,0.131028262406404,0.131028262406404,0.131028262406404,0.131028262406404,0.0
55,1515088800,1.84269394,1.91648571,-0.07379178,99,7,14.1429,403,29,432,1.15,1.19,1.14,1.14,245236.11,285816.97,0.13976194237515863,0.17395330712343798,0.131028262406404,0.131028262406404,0.008733679968754626
56,1515092400,1.9395087,2.63424096,-0.69473227,115,83,1.3855,660,43,703,1.16,1.19,1.13,1.15,237868.74,272618.55,0.14842000511827322,0.17395330712343798,0.12221763272424911,0.13976194237515863,0.008658062743114592
57,1515096000,1.7981759999999998,2.47534706,-0.67717106,125,34,3.6765,724,58,782,1.17,1.17,1.04,1.16,1296412.69,1429257.54,0.1570037488096647,0.1570037488096647,0.03922071315328133,0.14842000511827322,0.008583743691391477
58,1515099600,1.81839531,1.7363,0.08209531,128,10,12.8,433,38,471,1.21,1.21,1.14,1.17,466988.83,549100.81,0.1906203596086497,0.1906203596086497,0.131028262406404,0.1570037488096647,0.03361661079898501
