,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,2.0,0.0,2.0,1,0,0.0,2,0,2,1.37,1.37,1.35,1.35,13468.83,18452.3,0.3148107398400336,0.3148107398400336,0.30010459245033816,0.30010459245033816,0.014706147389695445
1,1514894400,0.0,0.0,0.0,0,0,0.0,5,0,5,1.38,1.38,1.36,1.38,9872.65,13624.26,0.3220834991691132,0.3220834991691132,0.3074846997479607,0.3220834991691132,0.0
2,1514898000,3.1111,0.0,3.1111,1,0,0.0,4,0,4,1.39,1.43,1.38,1.42,11822.37,16433.09,0.3293037471426003,0.3576744442718159,0.3220834991691132,0.35065687161316933,-0.02135312447056903
3,1514901600,2.0,0.0,2.0,1,0,0.0,10,0,10,1.38,1.42,1.37,1.37,8980.14,12392.59,0.3220834991691132,0.35065687161316933,0.3148107398400336,0.3148107398400336,0.007272759329079614
4,1514905200,1.8,0.0,1.8,1,0,0.0,5,0,5,1.34,1.4,1.31,1.37,27083.91,36292.44,0.29266961396282004,0.3364722366212129,0.2700271372130602,0.3148107398400336,-0.022141125877213563
5,1514908800,1.65063333,2.2778,-0.62716667,3,1,3.0,6,0,6,1.34,1.35,1.32,1.33,10591.85,14193.08,0.29266961396282004,0.30010459245033816,0.27763173659827955,0.28517894223366247,0.007490671729157572
6,1514912400,1.6315,0.0,1.6315,2,0,0.0,6,0,6,1.33,1.36,1.33,1.36,4454.12,5923.98,0.28517894223366247,0.3074846997479607,0.28517894223366247,0.3074846997479607,-0.022305757514298252
7,1514916000,1.6315,2.2778,-0.6463,2,1,2.0,10,0,10,1.41,1.42,1.39,1.39,13576.38,19142.7,0.34358970439007686,0.35065687161316933,0.3293037471426003,0.3293037471426003,0.014285957247476555
8,1514919600,2.0,0.0,2.0,2,0,0.0,13,0,13,1.41,1.47,1.41,1.44,42074.82,59325.5,0.34358970439007686,0.3852624007906449,0.34358970439007686,0.36464311358790924,-0.021053409197832385
9,1514923200,2.1111,0.0,2.1111,2,0,0.0,5,0,5,1.41,1.43,1.41,1.42,14829.56,20909.68,0.34358970439007686,0.3576744442718159,0.34358970439007686,0.35065687161316933,-0.007067167223092474
