,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514894400,1.6278,2.2778,-0.65,1,1,1.0,6,0,6,41.78,42.43,41.69,42.32,747.98,31250.6,3.7324177561284198,3.7478556592142334,3.7302612918927056,3.7452597875500437,-0.01284203142162399
1,1514898000,2.2222,0.0,2.2222,1,0,0.0,9,0,9,41.91,42.99,41.89,42.85,1861.04,77996.19,3.73552446193698,3.76096753050819,3.7350471349589434,3.7577056450437887,-0.02218118310680861
2,1514901600,0.0,0.0,0.0,0,0,0.0,5,0,5,41.95,43.09,41.47,41.5,1434.36,60171.4,3.7364784329132155,3.763290951627747,3.7249702742582897,3.7256934272366524,0.010785005676563042
3,1514905200,1.493075,2.2778,-0.784725,4,1,4.0,13,0,13,41.37,41.87,41.05,41.7,1771.42,73283.65,3.72255598047332,3.734569580031052,3.714790835898437,3.730501128804756,-0.007945148331435892
4,1514908800,1.8889,0.0,1.8889,4,0,0.0,9,1,10,41.2,41.34,40.66,41.21,1253.6,51648.32,3.7184382563554808,3.7218305542536223,3.7052448082002005,3.718680945350726,-0.00024268899524537701
5,1514912400,1.43055,0.0,1.43055,2,0,0.0,4,2,6,41.38,42.06,41.07,41.8,1302.45,53895.38,3.722797672317397,3.7390971702745537,3.7152779279684673,3.7328963395307104,-0.010098667213313206
6,1514916000,0.0,0.0,0.0,0,0,0.0,5,2,7,39.8,43.85,39.67,43.51,1962.39,78103.12,3.6838669122903918,3.780774718818192,3.6805952345262387,3.772990796732589,-0.0891238844421971
7,1514919600,1.5556,2.2778,-0.7222,1,1,1.0,10,0,10,41.33,42.87,38.19,40.42,2874.33,118796.06,3.721588628523641,3.7581722806098856,3.6425737012374246,3.699324711975475,0.022263916548165952
8,1514923200,0.6389,0.0,0.6389,1,0,0.0,4,0,4,42.5,43.05,40.98,41.37,756.33,32144.03,3.7495040759303713,3.7623622308737397,3.7130841428107537,3.72255598047332,0.026948095457051124
9,1514926800,2.0,0.0,2.0,3,0,0.0,4,0,4,41.99,42.72,38.22,42.36,608.87,25566.45,3.737431494696102,3.7546671946519394,3.643358938812127,3.7462045207332055,-0.008773026037103726
10,1514930400,2.05,0.0,2.05,2,0,0.0,4,0,4,39.93,42.09,38.38,42.09,495.79,19796.89,3.6871279210751298,3.7398101827824792,3.647536490579554,3.7398101827824792,-0.052682261707349465
11,1514934000,2.14813333,0.0,2.14813333,3,0,0.0,7,0,7,40.5,40.54,39.6,39.81,302.54,12252.87,3.7013019741124933,3.702289141023854,3.6788291182604347,3.684118137012226,0.017183837100267496
12,1514937600,2.1111,0.0,2.1111,3,0,0.0,6,0,6,40.76,41.19,39.72,40.75,654.22,26666.01,3.707701208354524,3.718195508447989,3.681854839176972,3.7074558396868715,0.0002453686676524569
13,1514941200,1.5185,0.0,1.5185,3,0,0.0,11,1,12,39.12,40.83,38.66,40.83,800.08,31299.13,3.6666338451666167,3.709417105331484,3.654805473780185,3.709417105331484,-0.04278326016486744
14,1514944800,0.0,0.0,0.0,0,0,0.0,2,0,2,38.1,41.41,37.39,39.65,1022.71,38965.25,3.6402142821326553,3.723522397557476,3.6214032889890224,3.680090948080857,-0.039876665948201495
15,1514948400,2.0,0.0,2.0,1,0,0.0,8,0,8,37.83,39.17,36.43,37.65,1735.97,65671.75,3.6331024386449378,3.66791114767774,3.5953926110204724,3.6283329542459026,0.004769484399035129
16,1514952000,1.43055,0.0,1.43055,2,0,0.0,7,1,8,39.03,39.38,37.84,38.61,864.12,33726.6,3.6643305811925235,3.6732580732109796,3.6333667441836774,3.653511310276145,0.010819270916378354
17,1514955600,1.263,0.0,1.263,1,0,0.0,3,0,3,39.0,40.71,37.99,38.67,585.33,22827.87,3.6635616461296463,3.7064737625148876,3.6373229671995344,3.6550641056192057,0.008497540510440604
18,1514959200,1.6315,2.2778,-0.6463,2,1,2.0,8,3,11,40.86,41.72,39.5,39.76,572.48,23391.53,3.710151589389476,3.7309806301325716,3.676300671907076,3.6828613817883733,0.02729020760110279
19,1514962800,2.2222,0.0,2.2222,2,0,0.0,6,1,7,36.77,40.61,33.57,40.61,2284.34,83995.18,3.6046822953131805,3.7040143416982065,3.5136328109919437,3.7040143416982065,-0.09933204638502602
20,1514966400,0.0,2.2778,-2.2778,0,1,0.0,6,3,9,37.28,37.9,34.05,36.35,2230.03,83135.52,3.6184569898173904,3.634951112088381,3.527830032595521,3.5931942039795284,0.025262785837862012
21,1514970000,1.85,0.0,1.85,1,0,0.0,6,1,7,36.85,37.45,36.41,36.58,2166.74,79844.37,3.6068556186353455,3.6230067099632284,3.594843462187342,3.5995016429627196,0.0073539756726259675
22,1514973600,2.0,0.0,2.0,1,0,0.0,6,1,7,37.8,38.26,36.46,36.48,1077.45,40727.61,3.632309102625542,3.644404964012107,3.596215769250517,3.5967641652061304,0.03554493741941167
23,1514977200,0.0,0.0,0.0,0,0,0.0,6,0,6,38.41,39.75,37.73,38.28,1268.6,48726.93,3.6483178423578133,3.6826098411003407,3.6304555339762192,3.6449275665847534,0.0033902757730599475
24,1514980800,2.2222,0.0,2.2222,2,0,0.0,8,0,8,40.13,40.48,37.76,37.76,2000.1,80264.01,3.6921241842788253,3.70080802497921,3.6312503412773,3.6312503412773,0.06087384300152543
25,1514984400,1.263,2.2778,-1.0148,1,1,1.0,4,3,7,38.62,41.11,37.26,40.99,1949.31,75282.35,3.653770277000368,3.716251400909787,3.6179203651734424,3.7133281345162463,-0.059557857515878165
