,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,0.0,0.0,0.0,0,0,0.0,4,0,4,0.006118,0.006254,0.006118,0.006118,53495277.42,327284.11,-5.096520033253426,-5.074534019946488,-5.096520033253426,-5.096520033253426,0.0
1,1514894400,2.0,0.0,2.0,2,0,0.0,14,0,14,0.006131,0.006268,0.006131,0.006268,35653318.56,218590.5,-5.094397410201586,-5.072297954488363,-5.094397410201586,-5.072297954488363,-0.02209945571322347
2,1514898000,2.53273333,2.2778,0.25493333,3,2,1.5,12,4,16,0.006289,0.006429000000000001,0.006289,0.006289,91181763.23,573442.11,-5.0689532034207705,-5.046936273822587,-5.0689532034207705,-5.0689532034207705,0.0
3,1514901600,0.0,2.2778,-2.2778,0,2,0.0,11,2,13,0.0060880000000000005,0.006227,0.0060880000000000005,0.006227,67601333.02,411556.92,-5.101435658422752,-5.078860603091822,-5.101435658422752,-5.078860603091822,-0.02257505533092985
4,1514905200,1.79186667,2.2778,-0.48593333,3,2,1.5,13,5,18,0.006189,0.006189,0.006052,0.006052,50262672.94,311075.68,-5.084981756224913,-5.084981756224913,-5.107366483056028,-5.107366483056028,0.02238472683111503
5,1514908800,1.42333333,2.2778,-0.85446667,3,3,1.0,25,1,26,0.006166,0.006166,0.006028,0.006028,50319005.74,310266.99,-5.088704949518179,-5.088704949518179,-5.111339998217888,-5.111339998217888,0.022635048699709337
6,1514912400,1.15,1.60186667,-0.45186667,3,3,1.0,21,1,22,0.006255,0.006255,0.006116,0.006255,44175456.52,276317.48,-5.0743741350632625,-5.0743741350632625,-5.096846990915322,-5.0743741350632625,0.0
7,1514916000,1.99445,2.2778,-0.28335,2,2,1.0,13,1,14,0.006285,0.006577,0.006285,0.006577,115462409.54,725681.24,-5.069589436939927,-5.024176564662923,-5.069589436939927,-5.024176564662923,-0.0454128722770033
8,1514919600,2.17015,2.2778,-0.10765,4,2,2.0,24,2,26,0.006234,0.006531,0.006086,0.006531,119893659.1,747417.07,-5.077737097636992,-5.031195208061617,-5.101764227507358,-5.031195208061617,-0.04654188957537464
9,1514923200,2.0,2.2778,-0.2778,1,2,0.5,11,0,11,0.006241,0.006389,0.006092,0.006241,70054866.12,437212.42,-5.0766148530302315,-5.053177517361931,-5.100778843949222,-5.0766148530302315,0.0
10,1514926800,1.263,2.2778,-1.0148,1,2,0.5,10,1,11,0.006221,0.006369,0.006221,0.006221,39046120.17,242905.91,-5.079824613449254,-5.056312807592908,-5.079824613449254,-5.079824613449254,0.0
11,1514930400,3.0,2.2778,0.7222,1,2,0.5,13,0,13,0.006235,0.006384,0.006087,0.006235,76864699.02,479251.4,-5.0775766998501375,-5.053960418834629,-5.10159992947035,-5.0775766998501375,0.0
12,1514934000,0.0,1.77085,-1.77085,0,4,0.0,13,1,14,0.006344,0.006344,0.006197,0.006197,47121469.66,298938.6,-5.06024579464959,-5.06024579464959,-5.083689975002167,-5.083689975002167,0.023444180352576893
13,1514937600,0.0,2.2778,-2.2778,0,3,0.0,12,0,12,0.006383,0.006531,0.006235,0.006383,33006953.57,210683.38,-5.054117072708217,-5.031195208061617,-5.0775766998501375,-5.054117072708217,0.0
