,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,2.0,0.0,2.0,1,0,0.0,5,1,6,8.5,8.52,8.48,8.52,70936.0,602956.0,2.1400661634962708,2.1424163408412245,2.1377104498038118,2.1424163408412245,-0.0023501773449536856
1,1514894400,1.83333333,0.0,1.83333333,3,0,0.0,15,0,15,8.55,8.57,8.48,8.53,110555.0,945245.25,2.145931282948669,2.1482677326096886,2.1377104498038118,2.1435893615035875,0.0023419214450814962
2,1514898000,1.86455714,2.0,-0.13544286,7,1,7.0,23,2,25,8.78,8.78,8.7,8.77,161894.0,1421429.32,2.172476407647025,2.172476407647025,2.163323025660538,2.1713368063840917,0.0011396012629334429
3,1514901600,1.55556667,0.0,1.55556667,3,0,0.0,26,8,34,8.69,8.73,8.67,8.69,206101.0,1791017.69,2.162172939277301,2.166765369851511,2.1598687907924505,2.162172939277301,0.0
4,1514905200,0.7639,1.925,-1.1611,2,1,2.0,28,3,31,8.6,8.66,8.59,8.65,154052.0,1324847.2,2.151762203259462,2.1587147225743437,2.150598735996164,2.157559320943788,-0.005797117684326114
5,1514908800,2.41573333,2.1014,0.31433333,3,2,1.5,24,7,31,8.6,8.61,8.52,8.57,174957.0,1504630.2,2.151762203259462,2.152924318439639,2.1424163408412245,2.1482677326096886,0.0034944706497732625
6,1514912400,1.7855,0.0,1.7855,6,0,0.0,22,2,24,8.73,8.76,8.71,8.73,84661.0,739090.53,2.166765369851511,2.1701959049483,2.1644717908644115,2.166765369851511,0.0
7,1514916000,1.409275,0.0,1.409275,4,0,0.0,26,8,34,8.48,9.21,8.48,9.18,556007.0,4714939.36,2.1377104498038118,2.2202898502672155,2.1377104498038118,2.217027204632399,-0.07931675482858713
8,1514919600,2.04476667,2.4852,-0.44043333,6,3,2.0,29,4,33,8.97,9.04,7.85,8.62,622953.0,5587888.41,2.1938856760707046,2.201659174404085,2.060513531794317,2.1540850846756014,0.03980059139510317
9,1514923200,1.50334,0.0,1.50334,5,0,0.0,40,2,42,8.91,9.08,8.04,8.95,222715.0,1984390.65,2.187174241482718,2.206074192613202,2.0844290831908747,2.191653532286764,-0.004479290804046077
10,1514926800,1.79596667,0.3,1.49596667,6,1,6.0,43,0,43,8.88,9.02,8.59,8.89,208245.0,1849215.6,2.1838015570040787,2.199444334074532,2.150598735996164,2.1849270495258133,-0.0011254925217345502
11,1514930400,1.40027143,1.2889,0.11137143,7,2,3.5,35,3,38,8.94,8.97,8.76,8.9,176355.0,1576613.7,2.190535589185423,2.1938856760707046,2.1701959049483,2.186051276738094,0.004484312447328609
12,1514934000,1.3646,0.5,0.8646,9,4,2.25,35,1,36,8.75,8.99,8.72,8.91,121699.0,1064866.25,2.169053700369523,2.196112848483529,2.1656192379208883,2.187174241482718,-0.018120541113194832
13,1514937600,1.74517778,1.1875,0.55767778,9,4,2.25,35,6,41,8.82,8.98,8.75,8.8,133374.0,1176358.68,2.1770218700187,2.194999882314108,2.169053700369523,2.174751721484161,0.002270148534539107
14,1514941200,2.0355,2.07015,-0.03465,6,4,1.5,41,5,46,8.73,8.85,8.71,8.84,168283.0,1469110.59,2.166765369851511,2.180417459019838,2.1644717908644115,2.179286876649552,-0.012521506798040871
15,1514944800,1.66057,1.4139,0.24667,10,2,5.0,32,3,35,8.57,8.85,8.51,8.84,160768.0,1377781.76,2.1482677326096886,2.180417459019838,2.1412419425852827,2.179286876649552,-0.031019144039863278
16,1514948400,1.2051,0.0,1.2051,5,0,0.0,21,7,28,8.76,8.78,8.35,8.46,211233.0,1850401.08,2.1701959049483,2.172476407647025,2.122261538862764,2.135349173618132,0.03484673133016791
17,1514952000,2.20485,2.0736,0.13125,2,2,1.0,20,0,20,8.71,8.93,8.04,8.87,188025.0,1637697.75,2.1644717908644115,2.189416394888408,2.0844290831908747,2.182674796321488,-0.018203005457076316
18,1514955600,2.07923333,2.0824,-0.00316667,3,3,1.0,17,2,19,8.63,8.85,8.49,8.72,106158.0,916143.54,2.155244505095337,2.180417459019838,2.138889000323256,2.1656192379208883,-0.010374732825551458
19,1514959200,1.61111111,1.3,0.31111111,9,2,4.5,30,0,30,8.74,8.9,8.7,8.81,87395.0,763832.3,2.167910189667444,2.186051276738094,2.163323025660538,2.175887439948088,-0.00797725028064411
20,1514962800,1.50406667,0.0,1.50406667,6,0,0.0,28,0,28,8.68,8.73,8.61,8.7,112974.0,980614.32,2.1610215286722587,2.166765369851511,2.152924318439639,2.163323025660538,-0.0023014969882790837
21,1514966400,2.01073,0.0,2.01073,10,0,0.0,37,1,38,8.7,8.74,8.58,8.59,100485.0,874219.5,2.163323025660538,2.167910189667444,2.149433913499871,2.150598735996164,0.012724289664373778
22,1514970000,2.07406667,0.0,2.07406667,3,0,0.0,26,1,27,8.7,8.76,8.47,8.6,142511.0,1239845.7,2.163323025660538,2.1701959049483,2.136530508663963,2.151762203259462,0.01156082240107592
23,1514973600,1.6667,2.2778,-0.6111,1,1,1.0,18,3,21,8.59,8.67,8.49,8.61,139748.0,1200435.32,2.150598735996164,2.1598687907924505,2.138889000323256,2.152924318439639,-0.002325582443475138
24,1514977200,1.3904,0.0,1.3904,6,0,0.0,34,3,37,8.71,8.72,8.64,8.69,73212.0,637676.52,2.1644717908644115,2.1656192379208883,2.1564025828159643,2.162172939277301,0.0022988515871107396
25,1514980800,1.44334,0.5,0.94334,5,2,2.5,43,7,50,8.69,8.72,8.51,8.56,94760.0,823464.4,2.162172939277301,2.1656192379208883,2.1412419425852827,2.1471001901536506,0.015072749123650198
26,1514984400,1.98065,2.2778,-0.29715,4,2,2.0,29,2,31,8.85,8.89,8.77,8.88,91767.0,812137.95,2.180417459019838,2.1849270495258133,2.1713368063840917,2.1838015570040787,-0.003384097984240775
27,1514988000,0.0,2.2778,-2.2778,0,1,0.0,25,3,28,8.69,8.85,8.65,8.8,125945.0,1094462.05,2.162172939277301,2.180417459019838,2.157559320943788,2.174751721484161,-0.01257878220686015
28,1514991600,1.3977,2.1014,-0.7037,4,2,2.0,25,3,28,8.66,8.91,8.66,8.81,209145.0,1811195.7,2.1587147225743437,2.187174241482718,2.1587147225743437,2.175887439948088,-0.017172717373744373
29,1514995200,2.41665,1.3889,1.02775,4,2,2.0,26,3,29,8.78,8.85,8.63,8.68,139987.0,1229085.86,2.172476407647025,2.180417459019838,2.155244505095337,2.1610215286722587,0.01145487897476638
30,1514998800,1.13571429,2.8,-1.66428572,7,1,7.0,41,3,44,8.79,8.8,8.65,8.68,156858.0,1378781.82,2.1736147116970854,2.174751721484161,2.157559320943788,2.1610215286722587,0.012593183024826704
31,1515002400,1.60821429,1.3889,0.21931429,7,2,3.5,27,1,28,8.95,8.96,8.59,8.69,252728.0,2261915.6,2.191653532286764,2.192770226986839,2.150598735996164,2.162172939277301,0.029480593009463263
32,1515006000,1.62963333,1.925,-0.29536667,3,1,3.0,31,1,32,8.84,8.94,8.78,8.94,188181.0,1663520.04,2.179286876649552,2.190535589185423,2.172476407647025,2.190535589185423,-0.011248712535870897
33,1515009600,1.0,2.2778,-1.2778,2,1,2.0,28,2,30,8.86,9.03,8.84,8.97,164145.0,1454324.7,2.1815467646169897,2.200552367428894,2.179286876649552,2.1938856760707046,-0.012338911453714907
34,1515013200,1.68115,0.0,1.68115,8,0,0.0,40,4,44,8.99,9.02,8.89,8.93,90555.0,814089.45,2.196112848483529,2.199444334074532,2.1849270495258133,2.189416394888408,0.006696453595121277
35,1515016800,2.0,0.0,2.0,1,0,0.0,27,4,31,9.04,9.06,8.85,8.88,118829.0,1074214.16,2.201659174404085,2.203869120054888,2.180417459019838,2.1838015570040787,0.017857617400006465
36,1515020400,1.65401667,1.925,-0.27098333,6,1,6.0,24,5,29,9.49,9.7,9.19,9.23,273694.0,2597356.06,2.2502386126218363,2.272125885509337,2.2181159363675955,2.222459048514761,0.027779564107075494
37,1515024000,1.21278,0.0,1.21278,5,0,0.0,27,11,38,9.11,9.52,9.09,9.47,209691.0,1910285.01,2.209372711271867,2.253394848803274,2.2071749081893874,2.248128907197987,-0.03875619592612001
38,1515027600,2.0,2.22223333,-0.22223333,1,3,0.3333,26,1,27,8.91,9.32,8.91,9.29,262148.0,2335738.68,2.187174241482718,2.2321626286975,2.187174241482718,2.2289385528257473,-0.04176431134302927
39,1515031200,1.0139,0.0,1.0139,4,0,0.0,26,3,29,9.33,9.45,8.82,8.84,302365.0,2821065.45,2.2332350148592526,2.2460147415056513,2.1770218700187,2.179286876649552,0.05394813820970068
40,1515034800,2.2889,1.0,1.2889,2,1,2.0,24,3,27,9.25,9.25,9.23,9.25,132.0,1221.0,2.224623551524334,2.224623551524334,2.222459048514761,2.224623551524334,0.0
41,1515038400,1.2361,2.1600200000000003,-0.92392,4,5,0.8,38,1,39,9.15,9.15,9.15,9.15,0.0,0.0,2.21375387928743,2.21375387928743,2.21375387928743,2.21375387928743,0.0
42,1515042000,0.25,1.925,-1.675,1,1,1.0,24,2,26,8.96,9.24,8.89,9.13,135955.0,1218156.8,2.192770226986839,2.2235418856535927,2.1849270495258133,2.211565694606877,-0.018795467620038142
43,1515045600,2.05555,2.2222,-0.16665,2,1,2.0,23,2,25,9.1,9.11,8.95,8.98,435258.0,3960847.8,2.2082744135228043,2.209372711271867,2.191653532286764,2.194999882314108,0.01327453120869615
44,1515049200,1.2315,0.0,1.2315,3,0,0.0,35,2,37,9.15,9.18,9.03,9.05,225416.0,2062556.4,2.21375387928743,2.217027204632399,2.200552367428894,2.2027647577118348,0.010989121575595284
45,1515052800,2.09383333,2.2778,-0.18396667,6,1,6.0,33,17,50,8.92,8.96,8.85,8.85,345436.0,3081289.12,2.188295946591918,2.192770226986839,2.180417459019838,2.180417459019838,0.007878487572079873
46,1515056400,2.1111,2.01805,0.09305,2,2,1.0,16,12,28,9.19,9.19,8.94,8.98,228290.0,2097985.1,2.2181159363675955,2.2181159363675955,2.190535589185423,2.194999882314108,0.023116054053487378
47,1515060000,1.681875,0.0,1.681875,8,0,0.0,25,8,33,8.92,9.2,8.87,9.19,277771.0,2477717.32,2.188295946591918,2.2192034840549946,2.182674796321488,2.2181159363675955,-0.02981998977567768
48,1515063600,1.50926667,0.0,1.50926667,3,0,0.0,47,2,49,8.98,9.07,8.96,9.0,213590.0,1918038.2,2.194999882314108,2.2049722641270453,2.192770226986839,2.1972245773362196,-0.0022246950221114226
