,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,1.78886667,0.0,1.78886667,3,0,0.0,10,0,10,110.0,110.0,110.0,110.0,0.0,0.0,4.700480365792417,4.700480365792417,4.700480365792417,4.700480365792417,0.0
1,1514894400,1.63703333,0.0671,1.56993333,3,2,1.5,39,5,44,110.0,110.0,110.0,110.0,0.0211,2.32,4.700480365792417,4.700480365792417,4.700480365792417,4.700480365792417,0.0
2,1514898000,1.57221111,0.0,1.57221111,9,0,0.0,37,12,49,110.0,110.0,107.09,110.0,0.4945,54.39,4.700480365792417,4.700480365792417,4.673669602412784,4.700480365792417,0.0
3,1514901600,1.69911579,2.5,-0.80088421,19,1,19.0,108,9,117,110.15,110.15,110.0,110.0,0.02056,2.27,4.7018430732483525,4.7018430732483525,4.700480365792417,4.700480365792417,0.0013627074559359187
4,1514905200,1.95894444,1.1111,0.84784444,9,1,9.0,73,4,77,110.15,110.15,110.15,110.15,2.14,235.7,4.7018430732483525,4.7018430732483525,4.7018430732483525,4.7018430732483525,0.0
5,1514908800,1.90718235,0.0,1.90718235,17,0,0.0,81,8,89,105.2,110.1,105.2,110.1,0.5612,61.47,4.65586330030361,4.701389043728634,4.65586330030361,4.701389043728634,-0.045525743425024245
6,1514912400,1.68006154,0.0,1.68006154,13,0,0.0,77,6,83,105.31,105.31,105.2,105.2,0.4681,49.29,4.656908381392506,4.656908381392506,4.65586330030361,4.65586330030361,0.001045081088896005
7,1514916000,1.81441053,0.0671,1.74731053,19,1,19.0,98,5,103,105.43,111.25,105.31,105.31,3.28,364.1,4.6580472255888585,4.711779921046349,4.656908381392506,4.656908381392506,0.0011388441963529061
8,1514919600,2.01885,0.0671,1.95175,12,1,12.0,90,0,90,105.54,112.21,105.43,105.43,2.04,221.23,4.659090027977522,4.720372115676775,4.6580472255888585,4.6580472255888585,0.0010428023886630555
9,1514923200,2.06665714,0.0,2.06665714,14,0,0.0,82,11,93,105.54,105.54,105.54,105.54,0.0,0.0,4.659090027977522,4.659090027977522,4.659090027977522,4.659090027977522,0.0
10,1514926800,2.00398462,0.0,2.00398462,13,0,0.0,90,2,92,116.27,116.27,105.54,105.54,0.2227,25.79,4.755915072680517,4.755915072680517,4.659090027977522,4.659090027977522,0.09682504470299502
11,1514930400,2.02128333,0.0,2.02128333,12,0,0.0,74,0,74,120.0,120.0,106.0,116.27,2.29,270.39,4.787491742782046,4.787491742782046,4.663439094112067,4.755915072680517,0.0315766701015292
12,1514934000,1.40318571,0.0,1.40318571,7,0,0.0,60,2,62,120.0,120.0,120.0,120.0,0.9854,117.9,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0
13,1514937600,2.1805375,0.0,2.1805375,8,0,0.0,66,2,68,123.0,123.0,107.81,107.81,2.12,256.97,4.812184355372417,4.812184355372417,4.680370418551027,4.680370418551027,0.13181393682139042
14,1514941200,1.97220714,0.81443333,1.15777381,14,3,4.6667,81,2,83,121.0,123.0,121.0,123.0,0.1091,13.21,4.795790545596741,4.812184355372417,4.795790545596741,4.812184355372417,-0.016393809775675727
15,1514944800,2.02313333,1.8389,0.18423333,12,2,6.0,62,3,65,121.0,121.0,121.0,121.0,0.0,0.0,4.795790545596741,4.795790545596741,4.795790545596741,4.795790545596741,0.0
16,1514948400,2.08535385,0.0,2.08535385,13,0,0.0,78,3,81,121.0,121.0,121.0,121.0,0.0,0.0,4.795790545596741,4.795790545596741,4.795790545596741,4.795790545596741,0.0
17,1514952000,1.69478182,0.15,1.54478182,11,1,11.0,96,1,97,115.63,121.0,108.0,121.0,1.32,149.42,4.75039543814087,4.795790545596741,4.68213122712422,4.795790545596741,-0.04539510745587094
18,1514955600,2.00838235,0.0,2.00838235,17,0,0.0,83,3,86,123.0,123.0,108.0,115.63,3.43,413.09,4.812184355372417,4.812184355372417,4.68213122712422,4.75039543814087,0.06178891723154667
19,1514959200,2.08793529,0.0,2.08793529,17,0,0.0,84,3,87,108.0,123.0,108.0,123.0,0.1938,20.93,4.68213122712422,4.812184355372417,4.68213122712422,4.812184355372417,-0.13005312824819715
20,1514962800,2.109,0.0,2.109,16,0,0.0,94,0,94,108.47,108.47,108.0,108.0,1.0,108.47,4.686473637052126,4.686473637052126,4.68213122712422,4.68213122712422,0.004342409927906132
