,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,1.93443333,0.0,1.93443333,3,0,0.0,34,2,36,31.38,31.5,30.79,31.33,43410.77,1350954.8,3.4461707473048864,3.449987545831587,3.427189961936409,3.4445761049641,0.001594642340786212
1,1514894400,1.82292727,1.72567143,0.09725584,22,7,3.1429,156,17,173,31.41,32.58,31.24,31.38,202705.59,6499588.4,3.447126313550555,3.4836986031738992,3.441699324971485,3.4461707473048864,0.0009555662456688374
2,1514898000,1.76401944,1.7889,-0.02488056,36,6,6.0,148,9,157,31.64,31.8,30.81,31.4,89244.65,2802809.24,3.4544221428994533,3.459466289786131,3.4278393126085764,3.4468078929142076,0.007614249985245625
3,1514901600,1.44159211,2.0522400000000003,-0.6106479,38,5,7.6,186,12,198,32.14,32.25,31.37,31.71,72688.38,2314223.34,3.4701013603093664,3.4735180432417816,3.445852022202587,3.456632088550256,0.013469271759110502
4,1514905200,1.45644468,1.80201667,-0.34557199,47,6,7.8333,241,16,257,32.07,32.27,31.61,32.14,44848.28,1435005.17,3.4679210137050633,3.4741380060638707,3.4534735262275262,3.4701013603093664,-0.0021803466043031072
5,1514908800,1.57551579,1.548625,0.02689079,38,4,9.5,262,18,280,31.92,32.4,31.87,32.07,66994.48,2152233.95,3.463232772581608,3.4781584227982836,3.461665128429245,3.4679210137050633,-0.004688241123455228
6,1514912400,1.86928906,1.06334,0.80594906,128,5,25.6,425,75,500,33.84,34.38,31.9,31.91,239465.32,7989826.25,3.521643534738023,3.5374749999547035,3.462606009790799,3.462919440290152,0.058724094447870634
7,1514916000,1.74290263,1.66334,0.07956263,76,5,15.2,234,25,259,32.56,34.14,31.72,33.84,276105.98,9132201.96,3.4830845411343394,3.5304697173662944,3.456947396766647,3.521643534738023,-0.03855899360368342
8,1514919600,1.72446957,1.72068889,0.00378068,46,9,5.1111,219,18,237,31.79,32.56,30.25,32.56,225394.75,7038667.99,3.459151774922711,3.4830845411343394,3.4094961844768505,3.4830845411343394,-0.02393276621162821
9,1514923200,1.78238684,2.2516,-0.46921316,38,7,5.4286,167,14,181,31.91,32.15,31.21,31.79,79067.95,2513277.18,3.462919440290152,3.4704124506836282,3.440738556282688,3.459151774922711,0.0037676653674409977
10,1514926800,1.71716944,2.01576667,-0.29859722,36,6,6.0,167,17,184,31.72,32.09,31.55,31.9,48503.88,1540810.2,3.456947396766647,3.4685444551217657,3.4515735889872223,3.462606009790799,-0.005658613024151826
11,1514930400,1.83974167,1.47686667,0.362875,36,6,6.0,162,12,174,31.78,31.88,31.28,31.72,29073.4,919885.54,3.45883716110857,3.461978853922014,3.4429789156771102,3.456947396766647,0.0018897643419228949
12,1514934000,1.62632778,1.843075,-0.21674722,36,4,9.0,156,13,169,31.87,32.02,31.68,31.79,24727.24,788704.54,3.461665128429245,3.4663607075685685,3.455685566946225,3.459151774922711,0.002513353506533811
13,1514937600,1.66633529,1.55325,0.11308529,34,6,5.6667,163,17,180,32.37,32.7,31.87,31.87,59533.39,1921363.45,3.4772320679381528,3.487375077903208,3.461665128429245,3.461665128429245,0.015566939508907751
14,1514941200,1.82435128,2.19692222,-0.37257094,39,9,4.3333,156,18,174,31.59,32.55,31.59,32.37,41900.13,1341787.37,3.4528406148139936,3.482777368654578,3.4528406148139936,3.4772320679381528,-0.024391453124159135
15,1514944800,1.88401471,2.08024375,-0.19622905,34,16,2.125,148,17,165,30.98,31.72,30.91,31.62,60355.15,1888701.04,3.4333418349887226,3.456947396766647,3.431079756144025,3.453789831781326,-0.02044799679260345
16,1514948400,1.90394667,2.21946667,-0.31552,30,6,5.0,209,10,219,31.14,31.51,30.98,30.98,41597.81,1301763.38,3.4384931664058525,3.4503049557691834,3.4333418349887226,3.4333418349887226,0.005151331417129867
17,1514952000,1.79984865,1.10446,0.69538865,37,5,7.4,177,11,188,31.28,31.61,31.12,31.14,25749.02,805333.7,3.4429789156771102,3.4534735262275262,3.4378506993101907,3.4384931664058525,0.004485749271257777
18,1514955600,2.08454643,1.69816667,0.38637976,28,3,9.3333,156,10,166,31.69,31.79,31.27,31.3,30502.54,966043.77,3.4560011737028296,3.459151774922711,3.44265917146975,3.4436180975461075,0.012383076156722073
19,1514959200,1.90474,1.69816667,0.20657333,30,3,10.0,181,16,197,32.18,32.28,31.56,31.69,47304.94,1511074.83,3.471345141564237,3.474447843401748,3.4518904959776733,3.4560011737028296,0.01534396786140757
20,1514962800,1.85962941,1.52408,0.33554941,34,5,6.8,185,11,196,31.72,32.17,31.63,32.16,38907.39,1237858.73,3.456947396766647,3.471034341250935,3.4541060373175574,3.4707234443107655,-0.01377604754411843
21,1514966400,1.92660667,1.69816667,0.22844,30,3,10.0,139,11,150,31.17,31.76,31.16,31.72,38096.59,1202712.59,3.4394560937792455,3.458207636378935,3.4391352210025476,3.456947396766647,-0.017491302987401536
22,1514970000,2.07725667,1.74585,0.33140667,30,4,7.5,159,15,174,31.06,31.6,31.04,31.17,57378.98,1799003.79,3.435920817720541,3.4531571205928664,3.435276695315018,3.4394560937792455,-0.0035352760587046284
23,1514973600,2.032275,1.69816667,0.33410833,28,3,9.3333,155,21,176,30.7,31.12,30.1,31.06,98267.75,3000710.44,3.4242626545931514,3.4378506993101907,3.40452517175483,3.435920817720541,-0.011658163127389543
24,1514977200,2.01138947,1.69816667,0.31322281,19,3,6.3333,136,14,150,31.21,31.24,30.67,30.7,46579.81,1439347.14,3.440738556282688,3.441699324971485,3.4232849781261603,3.4242626545931514,0.01647590168953661
25,1514980800,2.07086,2.1633400000000003,-0.09248,15,5,3.0,158,14,172,31.13,31.61,31.11,31.21,49730.79,1559751.47,3.4381719844535166,3.4534735262275262,3.4375293109095457,3.440738556282688,-0.0025665718291714157
26,1514984400,2.04295476,1.69816667,0.3447881,42,3,14.0,201,19,220,31.95,32.03,31.03,31.13,38925.25,1232730.86,3.4641721808235437,3.466672963621067,3.434954478460289,3.4381719844535166,0.02600019637002715
27,1514988000,1.76490476,1.62668,0.13822476,42,5,8.4,186,15,201,31.29,31.95,31.2,31.95,44216.24,1394720.62,3.443298557680791,3.4641721808235437,3.4404180948154366,3.4641721808235437,-0.020873623142752873
28,1514991600,1.81384643,1.843075,-0.02922857,28,4,7.0,146,21,167,32.0,32.09,31.29,31.29,55611.97,1768526.79,3.4657359027997265,3.4685444551217657,3.443298557680791,3.443298557680791,0.022437345118935692
29,1514995200,1.74919189,1.71252,0.03667189,37,5,7.4,218,11,229,31.37,32.04,31.27,32.0,30299.91,958860.16,3.445852022202587,3.4669851222001586,3.44265917146975,3.4657359027997265,-0.019883880597139747
30,1514998800,2.06149355,1.385,0.67649355,31,10,3.1,202,20,222,31.15,31.5,31.13,31.37,28992.28,911358.47,3.4388142452334622,3.449987545831587,3.4381719844535166,3.445852022202587,-0.007037776969124554
31,1515002400,1.86437805,1.90715714,-0.04277909,41,7,5.8571,249,25,274,31.54,31.7,31.05,31.15,59867.18,1873801.6,3.451256581534892,3.456316680883235,3.435598808379488,3.4388142452334622,0.01244233630142988
32,1515006000,1.96379524,1.76585556,0.19793968,42,9,4.6667,338,17,355,31.78,31.92,31.49,31.54,62040.05,1969655.7,3.45883716110857,3.463232772581608,3.4496700351129332,3.451256581534892,0.007580579573677859
33,1515009600,1.89701739,1.65958333,0.23743406,46,6,7.6667,200,26,226,31.78,31.89,31.53,31.78,41320.57,1313549.83,3.45883716110857,3.4622924810219664,3.4509394735569696,3.45883716110857,0.0
34,1515013200,1.77965946,1.5635,0.21615946,37,7,5.2857,178,33,211,31.92,32.04,31.67,31.79,28359.69,904775.67,3.463232772581608,3.4669851222001586,3.4553698605505483,3.459151774922711,0.004080997658896912
35,1515016800,1.86582692,2.70976667,-0.84393974,26,75,0.3467,197,15,212,31.7,31.98,31.66,31.92,31132.24,990719.62,3.456316680883235,3.4651107074058083,3.4550540544528663,3.463232772581608,-0.006916091698373261
36,1515020400,1.40286765,1.6524375,-0.24956985,34,8,4.25,221,20,241,33.11,33.77,31.69,31.7,127816.75,4231185.52,3.4998353515591547,3.5195728343974766,3.4560011737028296,3.456316680883235,0.04351867067591986
37,1515024000,1.94037241,1.69816667,0.24220575,58,3,19.3333,475,24,499,32.95,33.22,32.4,33.11,61617.0,2027153.12,3.4949912609485163,3.503152104185149,3.4781584227982836,3.4998353515591547,-0.004844090610638396
38,1515027600,2.14066087,1.64002,0.50064087,46,5,9.2,271,7,278,32.65,33.0,32.41,32.95,67407.25,2204102.7,3.48584485572244,3.4965075614664802,3.4784670171534557,3.4949912609485163,-0.009146405226076126
39,1515031200,2.02483333,1.39168333,0.63315,27,6,4.5,197,8,205,32.02,32.65,31.74,32.65,50558.27,1620797.6,3.4663607075685685,3.48584485572244,3.457577715098263,3.48584485572244,-0.019484148153871672
40,1515034800,2.212365,1.748625,0.46374,40,4,10.0,156,5,161,31.94,32.38,31.78,32.02,38538.61,1234858.73,3.4638591427868666,3.477540948249489,3.45883716110857,3.4663607075685685,-0.002501564781701937
41,1515038400,2.06232308,1.69816667,0.36415641,26,3,8.6667,190,8,198,31.82,32.04,31.63,31.94,26251.38,833974.82,3.4600950229096408,3.4669851222001586,3.4541060373175574,3.4638591427868666,-0.003764119877225802
42,1515042000,2.21647826,1.86747143,0.34900683,23,7,3.2857,164,7,171,31.99,32.15,31.69,31.82,15686.53,501558.64,3.4654233539614268,3.4704124506836282,3.4560011737028296,3.4600950229096408,0.005328331051785984
43,1515045600,2.11135152,1.311125,0.80022652,33,4,8.25,175,8,183,32.23,32.67,31.99,31.99,30782.37,998195.28,3.4728976958273465,3.4864572256129787,3.4654233539614268,3.4654233539614268,0.007474341865919776
44,1515049200,2.09436923,1.57038333,0.5239859,26,6,4.3333,170,7,177,32.22,32.32,31.87,32.23,31375.85,1007238.34,3.472587377748828,3.4756862336528944,3.461665128429245,3.4728976958273465,-0.0003103180785184456
45,1515052800,2.04140833,1.34605714,0.69535119,48,7,6.8571,207,8,215,31.17,32.64,31.16,32.22,65647.96,2083951.0,3.4394560937792455,3.4855385300959063,3.4391352210025476,3.472587377748828,-0.03313128396958254
46,1515056400,1.94117907,1.21946667,0.7217124,43,6,7.1667,160,4,164,32.39,32.43,30.74,31.17,44027.76,1373021.07,3.477849733183238,3.4790839203192268,3.4255647381104497,3.4394560937792455,0.03839363940399254
47,1515060000,1.99696364,1.48742,0.50954364,55,5,11.0,184,12,196,31.63,32.59,31.39,32.41,33493.79,1064000.0,3.4541060373175574,3.4840054928494704,3.4464893708538624,3.4784670171534557,-0.024360979835898355
48,1515063600,2.02002273,1.02937143,0.9906513,44,7,6.2857,216,8,224,31.82,31.91,31.2,31.63,56272.89,1781719.15,3.4600950229096408,3.462919440290152,3.4404180948154366,3.4541060373175574,0.0059889855920833845
49,1515067200,1.97149143,1.5863625,0.38512893,70,8,8.75,247,17,264,31.35,31.91,30.94,31.82,51838.26,1623042.16,3.4452142670789296,3.462919440290152,3.43204984514492,3.4600950229096408,-0.014880755830711134
50,1515070800,1.94705333,1.69816667,0.24888667,45,3,15.0,202,37,239,31.5,31.66,31.19,31.35,47295.91,1483746.03,3.449987545831587,3.4550540544528663,3.440097530619712,3.4452142670789296,0.004773278752657539
51,1515074400,1.78428548,1.69816667,0.08611882,62,3,20.6667,255,22,277,33.62,33.69,31.5,31.5,156415.58,5163377.42,3.5151211279804695,3.5172010574184616,3.449987545831587,3.449987545831587,0.06513358214888232
52,1515078000,1.78038273,1.53062857,0.24975416,139,14,9.9286,453,44,497,36.68,37.08,33.6,33.62,506826.66,18033585.14,3.602231647388264,3.6130777406976544,3.5145260669691587,3.5151211279804695,0.08711051940779457
53,1515081600,1.89017614,1.7231125,0.16706364,88,8,11.0,404,37,441,35.76,36.85,35.73,36.68,45343.98,1648327.47,3.576829950305313,3.6068556186353455,3.5759906720353185,3.602231647388264,-0.025401697082950925
54,1515085200,1.96651935,1.38334,0.58317935,62,5,12.4,273,16,289,35.76,35.76,35.76,35.76,0.0,0.0,3.576829950305313,3.576829950305313,3.576829950305313,3.576829950305313,0.0
55,1515088800,1.66524773,1.69816667,-0.03291894,44,3,14.6667,218,17,235,35.97,35.97,34.61,35.76,84746.83,3003415.19,3.5826852577075323,3.5826852577075323,3.544142657647253,3.576829950305313,0.005855307402219179
56,1515092400,1.85596452,2.68597662,-0.83001211,31,77,0.4026,245,28,273,34.5,36.78,34.36,35.97,138454.54,4958332.05,3.5409593240373143,3.604954219176175,3.536893097116055,3.5826852577075323,-0.04172593367021804
57,1515096000,2.02319032,2.5574381,-0.53424777,31,21,1.4762,241,42,283,34.29,34.63,33.3,34.5,113920.11,3863294.72,3.534853766474829,3.5447203584143305,3.505557396986398,3.5409593240373143,-0.00610555756248532
58,1515099600,2.05402353,2.15465,-0.10062647,34,6,5.6667,267,16,283,34.32,34.64,33.75,34.29,52807.22,1821882.53,3.5357282746197614,3.5450090836942345,3.518980417318539,3.534853766474829,0.0008745081449323955
59,1515103200,1.89442051,2.48224,-0.58781949,39,10,3.9,287,16,303,34.31,34.7,34.2,34.32,45872.45,1583159.94,3.5354368568703585,3.5467396869528134,3.5322256440685598,3.5357282746197614,-0.0002914177494028891
60,1515106800,1.98644118,1.1073,0.87914118,34,9,3.7778,249,6,255,33.77,34.94,33.68,34.31,55282.0,1907569.88,3.5195728343974766,3.5536323047059106,3.516904189374126,3.5354368568703585,-0.015864022472881878
