,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,2.1963,0.0,2.1963,2,0,0.0,6,1,7,6.15,6.38,6.15,6.15,600.0,3690.0,1.8164520818184267,1.8531680973566984,1.8164520818184267,1.8164520818184267,0.0
1,1514894400,1.73611111,1.4933,0.24281111,9,3,3.0,57,17,74,6.16,6.17,6.16,6.16,6400.0,39424.0,1.8180767775454285,1.8196988379172965,1.8180767775454285,1.8180767775454285,0.0
2,1514898000,1.24460313,1.41886,-0.17425688,32,5,6.4,64,12,76,6.29,6.53,6.29,6.31,1400.0,8806.0,1.8389610707123492,1.8764069432883397,1.8389610707123492,1.8421356765531218,-0.0031746058407726707
3,1514901600,1.8533875,0.1045,1.7488875,32,1,32.0,76,18,94,5.83,6.23,5.83,6.23,100.0,583.0,1.763017000362401,1.8293763327993617,1.763017000362401,1.8293763327993617,-0.06635933243696068
4,1514905200,1.49227,1.120825,0.371445,20,4,5.0,67,22,89,6.49,6.49,5.79,5.79,1100.0,7139.0,1.8702625307159986,1.8702625307159986,1.7561322915849038,1.7561322915849038,0.11413023913109477
5,1514908800,1.6261028999999998,1.46643333,0.15966957,69,6,11.5,179,27,206,6.99,6.99,6.47,6.47,1400.0,9786.0,1.944480556245719,1.944480556245719,1.8671761085128091,1.8671761085128091,0.0773044477329099
6,1514912400,1.84075747,0.94125714,0.89950033,87,7,12.4286,265,12,277,7.08,7.09,7.08,7.09,200.0,1416.0,1.9572739077056285,1.958685340544036,1.9572739077056285,1.958685340544036,-0.0014114328384076114
7,1514916000,1.67364688,1.50571538,0.16793149,32,13,2.4615,160,11,171,6.18,7.45,6.18,7.45,3000.0,18540.0,1.8213182714695995,2.0082140323914683,1.8213182714695995,2.0082140323914683,-0.18689576092186888
8,1514919600,1.85311786,1.47744444,0.37567341,28,9,3.1111,120,11,131,5.94,6.93,5.61,6.28,4200.0,24948.0,1.7817091333745536,1.9358598132018119,1.724550719534605,1.8373699804801074,-0.055660847105553746
9,1514923200,1.89254848,2.19075714,-0.29820866,33,7,4.7143,83,8,91,6.24,6.24,5.65,5.94,1100.0,6864.0,1.8309801823813363,1.8309801823813363,1.7316555451583497,1.7817091333745536,0.0492710490067827
10,1514926800,1.42336364,0.75738333,0.6659803000000001,22,6,3.6667,81,19,100,5.75,6.78,5.75,6.22,400.0,2300.0,1.749199854809259,1.9139771019523042,1.749199854809259,1.827769906751088,-0.07857005194182887
11,1514930400,1.65639167,1.51853333,0.13785833,24,3,8.0,87,9,96,6.24,6.24,5.77,5.77,500.0,3120.0,1.8309801823813363,1.8309801823813363,1.7526720805200082,1.7526720805200082,0.07830810186132808
12,1514934000,1.80178095,2.1148,-0.31301905,42,1,42.0,95,10,105,6.9,6.9,6.06,6.2,800.0,5520.0,1.9315214116032138,1.9315214116032138,1.801709800081223,1.824549292051046,0.10697211955216779
13,1514937600,1.69254118,0.64445,1.04809118,17,4,4.25,56,4,60,6.38,6.94,6.38,6.94,100.0,638.0,1.8531680973566984,1.937301774518713,1.8531680973566984,1.937301774518713,-0.0841336771620147
14,1514941200,1.57779444,1.0439,0.53389444,18,6,3.0,69,5,74,6.39,6.39,6.39,6.39,0.0,0.0,1.8547342683894434,1.8547342683894434,1.8547342683894434,1.8547342683894434,0.0
15,1514944800,1.94445556,0.8426,1.10185556,27,3,9.0,77,8,85,6.26,6.48,6.26,6.48,200.0,1252.0,1.8341801851120072,1.8687205103641833,1.8341801851120072,1.8687205103641833,-0.034540325252176096
16,1514948400,1.75495957,0.77036667,0.98459291,94,3,31.3333,124,10,134,6.7,6.7,6.19,6.19,200.0,1340.0,1.9021075263969205,1.9021075263969205,1.8229350866965048,1.8229350866965048,0.07917243970041565
17,1514952000,1.63437826,1.1125,0.52187826,23,4,5.75,76,4,80,6.59,6.8,6.59,6.8,100.0,659.0,1.8855533485144158,1.916922612182061,1.8855533485144158,1.916922612182061,-0.03136926366764525
18,1514955600,1.4913,0.8375,0.6538,16,4,4.0,59,4,63,6.59,6.59,6.59,6.59,0.0,0.0,1.8855533485144158,1.8855533485144158,1.8855533485144158,1.8855533485144158,0.0
19,1514959200,1.54717097,1.21722,0.32995097,31,10,3.1,84,11,95,6.21,7.2,6.16,6.72,1700.0,10557.0,1.8261608959453874,1.9740810260220096,1.8180767775454285,1.9050881545350582,-0.07892725858967076
20,1514962800,1.44190357,2.8889,-1.44699643,28,1,28.0,71,6,77,6.12,6.17,6.12,6.17,1700.0,10404.0,1.8115620965242347,1.8196988379172965,1.8115620965242347,1.8196988379172965,-0.008136741393061753
21,1514966400,1.32821304,2.8889,-1.56068696,23,1,23.0,57,7,64,6.28,6.29,6.05,6.05,400.0,2512.0,1.8373699804801074,1.8389610707123492,1.80005827204275,1.80005827204275,0.037311708437357316
22,1514970000,1.44143548,0.7722,0.66923548,31,1,31.0,62,5,67,6.2,6.2,5.94,6.16,800.0,4960.0,1.824549292051046,1.824549292051046,1.7817091333745536,1.8180767775454285,0.006472514505617477
23,1514973600,1.77438571,0.2385,1.53588571,21,3,7.0,53,19,72,6.18,6.18,5.76,6.14,900.0,5562.0,1.8213182714695995,1.8213182714695995,1.7509374747078,1.814824742159051,0.006493529310548363
24,1514977200,1.45975,1.9073,-0.44755,14,3,4.6667,66,12,78,6.02,6.4,6.02,6.25,2300.0,13846.0,1.7950872593207297,1.8562979903656263,1.7950872593207297,1.8325814637483102,-0.03749420442758056
25,1514980800,1.58257059,1.2,0.38257059,17,2,8.5,55,15,70,6.29,6.29,5.91,5.91,100.0,629.0,1.8389610707123492,1.8389610707123492,1.776645831418007,1.776645831418007,0.06231523929434224
26,1514984400,1.69983043,0.0,1.69983043,23,0,0.0,67,11,78,5.99,6.43,5.99,6.42,500.0,2995.0,1.7900914121273581,1.860974538249528,1.7900914121273581,1.8594181177018698,-0.0693267055745117
27,1514988000,1.60520385,1.34815,0.25705385,26,2,13.0,62,11,73,5.97,5.97,5.97,5.97,0.0,0.0,1.7867469274045107,1.7867469274045107,1.7867469274045107,1.7867469274045107,0.0
28,1514991600,1.72533103,0.7722,0.95313103,29,1,29.0,75,13,88,6.27,6.8,6.05,6.05,300.0,1881.0,1.8357763546448294,1.916922612182061,1.80005827204275,1.80005827204275,0.035718082602079315
29,1514995200,1.93911176,1.5963,0.34281176,34,2,17.0,86,7,93,7.07,7.07,6.28,6.28,700.0,4949.0,1.9558604799084813,1.9558604799084813,1.8373699804801074,1.8373699804801074,0.11849049942837397
30,1514998800,1.87376757,1.41296667,0.4608009,37,3,12.3333,116,11,127,6.94,6.97,6.93,6.97,1700.0,11798.0,1.937301774518713,1.9416152247724325,1.9358598132018119,1.9416152247724325,-0.004313450253719431
31,1515002400,1.9648725,0.44817143,1.51670107,40,28,1.4286,135,13,148,6.95,6.95,6.66,6.88,600.0,4170.0,1.9387416595767009,1.9387416595767009,1.8961194845522977,1.9286186519452522,0.010123007631448688
32,1515006000,1.855958,0.31036765,1.54559035,50,68,0.7353,173,20,193,6.65,6.94,6.65,6.94,500.0,3325.0,1.8946168546677629,1.937301774518713,1.8946168546677629,1.937301774518713,-0.04268491985095024
33,1515009600,1.63115135,0.56298889,1.06816246,37,36,1.0278,162,19,181,6.75,6.75,6.75,6.75,1600.0,10800.0,1.9095425048844386,1.9095425048844386,1.9095425048844386,1.9095425048844386,0.0
34,1515013200,1.84883514,0.61408519,1.23474995,37,27,1.3704,106,21,127,6.48,7.18,6.48,6.78,600.0,3888.0,1.8687205103641833,1.9712993830601329,1.8687205103641833,1.9139771019523042,-0.0452565915881209
35,1515016800,1.26261579,2.56089383,-1.29827804,76,81,0.9383,200,12,212,7.07,7.14,6.4,6.4,500.0,3535.0,1.9558604799084813,1.965712776351493,1.8562979903656263,1.8562979903656263,0.09956248954285507
36,1515020400,1.43732075,1.30325714,0.13406361,53,14,3.7857,119,15,134,7.42,7.42,7.21,7.21,200.0,1484.0,2.004179057179289,2.004179057179289,1.9754689512968577,1.9754689512968577,0.02871010588243128
