,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1525208400,1.84707,0.0,1.84707,10,0,0.0,72,5,77,7.27,7.27,7.27,7.27,0.01,0.0727,1.9837562915454279,1.9837562915454279,1.9837562915454279,1.9837562915454279,0.0
1,1525212000,2.19515455,1.1482,1.04695455,11,1,11.0,59,12,71,7.24,7.24,7.24,7.24,0.0,0.0,1.979621206397625,1.979621206397625,1.979621206397625,1.979621206397625,0.0
2,1525215600,1.86262778,0.0,1.86262778,18,0,0.0,74,3,77,7.26,7.26,7.26,7.26,0.0,0.0,1.9823798288367047,1.9823798288367047,1.9823798288367047,1.9823798288367047,0.0
3,1525219200,2.0942,0.0,2.0942,11,0,0.0,51,2,53,7.24,7.24,7.24,7.24,0.0,0.0,1.979621206397625,1.979621206397625,1.979621206397625,1.979621206397625,0.0
4,1525222800,1.92866429,1.03333333,0.89533095,14,3,4.6667,66,1,67,7.23,7.23,7.23,7.23,0.0,0.0,1.9782390361706734,1.9782390361706734,1.9782390361706734,1.9782390361706734,0.0
5,1525226400,1.97214,1.1482,0.82394,10,1,10.0,56,6,62,7.24,7.24,7.24,7.24,0.0,0.0,1.979621206397625,1.979621206397625,1.979621206397625,1.979621206397625,0.0
6,1525230000,1.6958,1.1482,0.5476,9,2,4.5,47,8,55,7.24,7.24,7.24,7.24,0.0,0.0,1.979621206397625,1.979621206397625,1.979621206397625,1.979621206397625,0.0
7,1525233600,1.629075,1.5741,0.054975,8,2,4.0,45,3,48,7.27,7.27,7.27,7.27,0.0,0.0,1.9837562915454279,1.9837562915454279,1.9837562915454279,1.9837562915454279,0.0
8,1525237200,0.0,0.0,0.0,0,0,0.0,28,3,31,7.26,7.26,7.26,7.26,0.0,0.0,1.9823798288367047,1.9823798288367047,1.9823798288367047,1.9823798288367047,0.0
9,1525240800,1.42326,1.95,-0.52674,5,2,2.5,39,4,43,7.33,7.33,7.33,7.33,0.0,0.0,1.9919755158985601,1.9919755158985601,1.9919755158985601,1.9919755158985601,0.0
10,1525244400,1.26593333,0.0,1.26593333,3,0,0.0,40,3,43,7.33,7.33,7.33,7.33,0.0,0.0,1.9919755158985601,1.9919755158985601,1.9919755158985601,1.9919755158985601,0.0
11,1525248000,1.663425,0.0,1.663425,4,0,0.0,35,3,38,7.31,7.31,7.31,7.31,0.0,0.0,1.9892432737616872,1.9892432737616872,1.9892432737616872,1.9892432737616872,0.0
12,1525251600,2.09483333,0.0,2.09483333,3,0,0.0,32,2,34,7.31,7.31,7.31,7.31,0.0,0.0,1.9892432737616872,1.9892432737616872,1.9892432737616872,1.9892432737616872,0.0
13,1525255200,1.30598571,2.0,-0.69401429,7,1,7.0,48,7,55,7.33,7.33,7.33,7.33,0.0,0.0,1.9919755158985601,1.9919755158985601,1.9919755158985601,1.9919755158985601,0.0
14,1525258800,1.19408333,1.00625,0.18783333,6,4,1.5,62,3,65,7.33,7.33,7.33,7.33,0.0,0.0,1.9919755158985601,1.9919755158985601,1.9919755158985601,1.9919755158985601,0.0
15,1525262400,1.59837333,2.33335,-0.73497667,15,2,7.5,132,5,137,7.27,7.27,7.27,7.27,0.0,0.0,1.9837562915454279,1.9837562915454279,1.9837562915454279,1.9837562915454279,0.0
16,1525266000,1.82,1.386125,0.433875,7,4,1.75,71,4,75,7.28,7.28,7.28,7.28,0.0,0.0,1.9851308622085946,1.9851308622085946,1.9851308622085946,1.9851308622085946,0.0
17,1525269600,1.574,1.4444,0.1296,13,1,13.0,70,4,74,7.27,7.27,7.27,7.27,0.0,0.0,1.9837562915454279,1.9837562915454279,1.9837562915454279,1.9837562915454279,0.0
18,1525273200,1.60792857,2.0,-0.39207143,7,1,7.0,80,4,84,7.32,7.32,7.32,7.32,0.0,0.0,1.9906103279732201,1.9906103279732201,1.9906103279732201,1.9906103279732201,0.0
19,1525276800,1.62355,1.825,-0.20145,6,2,3.0,58,7,65,7.31,7.31,7.31,7.31,0.0,0.0,1.9892432737616872,1.9892432737616872,1.9892432737616872,1.9892432737616872,0.0
20,1525280400,1.47111111,0.0,1.47111111,9,0,0.0,56,5,61,7.3,7.3,7.3,7.3,0.0,0.0,1.9878743481543455,1.9878743481543455,1.9878743481543455,1.9878743481543455,0.0
21,1525284000,2.12995455,2.0,0.12995455,11,1,11.0,48,34,82,7.31,7.31,7.31,7.31,0.0,0.0,1.9892432737616872,1.9892432737616872,1.9892432737616872,1.9892432737616872,0.0
22,1525287600,1.49003333,0.0,1.49003333,15,0,0.0,58,3,61,7.3,7.3,7.3,7.3,0.0,0.0,1.9878743481543455,1.9878743481543455,1.9878743481543455,1.9878743481543455,0.0
23,1525291200,1.890475,2.0,-0.109525,16,1,16.0,56,6,62,7.36,7.36,7.36,7.36,0.0,0.0,1.9960599327407849,1.9960599327407849,1.9960599327407849,1.9960599327407849,0.0
24,1525294800,1.84444,1.1482,0.69624,10,1,10.0,62,8,70,7.39,7.39,7.39,7.39,0.0,0.0,2.0001277349601105,2.0001277349601105,2.0001277349601105,2.0001277349601105,0.0
25,1525298400,1.80027143,0.0,1.80027143,7,0,0.0,53,6,59,7.41,7.41,7.41,7.41,0.0,0.0,2.0028304393079956,2.0028304393079956,2.0028304393079956,2.0028304393079956,0.0
26,1525302000,1.85774,0.0,1.85774,10,0,0.0,62,11,73,7.39,7.39,7.39,7.39,0.0,0.0,2.0001277349601105,2.0001277349601105,2.0001277349601105,2.0001277349601105,0.0
27,1525305600,1.78176667,2.2222,-0.44043333,9,1,9.0,54,4,58,7.36,7.36,7.36,7.36,0.0,0.0,1.9960599327407849,1.9960599327407849,1.9960599327407849,1.9960599327407849,0.0
28,1525309200,2.09133846,1.89445,0.19688846,13,2,6.5,52,5,57,7.39,7.39,7.39,7.39,0.0,0.0,2.0001277349601105,2.0001277349601105,2.0001277349601105,2.0001277349601105,0.0
29,1525312800,1.88632727,1.4611,0.42522727,11,2,5.5,46,3,49,7.4,7.4,7.4,7.4,0.0,0.0,2.0014800002101243,2.0014800002101243,2.0014800002101243,2.0014800002101243,0.0
30,1525316400,1.6519400000000002,1.90591429,-0.25397429,5,7,0.7143,42,6,48,7.39,7.39,7.39,7.39,0.0,0.0,2.0001277349601105,2.0001277349601105,2.0001277349601105,2.0001277349601105,0.0
31,1525320000,1.65205833,2.0,-0.34794167,12,1,12.0,52,4,56,7.42,7.42,7.42,7.42,0.0,0.0,2.004179057179289,2.004179057179289,2.004179057179289,2.004179057179289,0.0
32,1525323600,1.28926,2.0926,-0.8033399999999999,5,3,1.6667,53,11,64,7.36,7.36,7.36,7.36,0.0,0.0,1.9960599327407849,1.9960599327407849,1.9960599327407849,1.9960599327407849,0.0
33,1525327200,1.4513,0.0,1.4513,4,0,0.0,44,6,50,7.37,7.37,7.37,7.37,0.0,0.0,1.9974177062012453,1.9974177062012453,1.9974177062012453,1.9974177062012453,0.0
34,1525330800,1.53515714,0.0,1.53515714,7,0,0.0,74,10,84,7.4,7.4,7.4,7.4,0.0,0.0,2.0014800002101243,2.0014800002101243,2.0014800002101243,2.0014800002101243,0.0
35,1525334400,1.52751538,2.3889,-0.86138462,13,2,6.5,73,5,78,7.38,7.38,7.38,7.38,0.0,0.0,1.998773638612381,1.998773638612381,1.998773638612381,1.998773638612381,0.0
36,1525338000,1.54285455,1.05,0.49285455,11,6,1.8333,79,18,97,7.37,7.37,7.37,7.37,0.0,0.0,1.9974177062012453,1.9974177062012453,1.9974177062012453,1.9974177062012453,0.0
37,1525341600,1.49424118,1.0,0.49424118,17,1,17.0,68,10,78,7.38,7.38,7.38,7.38,0.0,0.0,1.998773638612381,1.998773638612381,1.998773638612381,1.998773638612381,0.0
38,1525345200,1.65638214,1.7074,-0.05101786,28,3,9.3333,98,9,107,7.37,7.37,7.37,7.37,0.0,0.0,1.9974177062012453,1.9974177062012453,1.9974177062012453,1.9974177062012453,0.0
39,1525348800,1.796675,1.45,0.346675,12,2,6.0,84,7,91,7.46,7.46,7.46,7.46,0.0,0.0,2.0095554142156695,2.0095554142156695,2.0095554142156695,2.0095554142156695,0.0
40,1525352400,1.86049444,0.0666,1.79389444,18,1,18.0,105,10,115,7.56,7.56,7.56,7.56,0.0,0.0,2.0228711901914416,2.0228711901914416,2.0228711901914416,2.0228711901914416,0.0
41,1525356000,1.83761875,1.96666667,-0.12904792,16,3,5.3333,98,9,107,7.55,7.55,7.55,7.55,0.0,0.0,2.0215475632609334,2.0215475632609334,2.0215475632609334,2.0215475632609334,0.0
42,1525359600,1.57554286,2.0,-0.42445714,14,1,14.0,85,3,88,7.54,7.54,7.54,7.54,0.0,0.0,2.020222182019865,2.020222182019865,2.020222182019865,2.020222182019865,0.0
43,1525363200,1.70864545,1.3682,0.34044545,11,1,11.0,88,16,104,7.68,7.68,7.68,7.68,0.0,0.0,2.038619547159581,2.038619547159581,2.038619547159581,2.038619547159581,0.0
44,1525366800,1.39147857,1.8639,-0.47242143,14,2,7.0,91,9,100,7.76,7.76,7.76,7.76,0.0,0.0,2.048982334195127,2.048982334195127,2.048982334195127,2.048982334195127,0.0
45,1525370400,1.415875,2.0,-0.584125,8,4,2.0,71,48,119,7.74,7.74,7.74,7.74,0.0,0.0,2.046401687601636,2.046401687601636,2.046401687601636,2.046401687601636,0.0
