,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1521208800,2.07965,0.0,2.07965,2,0,0.0,5,2,7,1.83,1.84,1.79,1.84,747589.23,1368088.29,0.6043159668533296,0.6097655716208943,0.5822156198526637,0.6097655716208943,-0.005449604767564731
1,1521212400,0.5528,3.3333,-2.7805,1,1,1.0,18,2,20,1.82,1.86,1.78,1.85,1255899.85,2285737.73,0.598836501088704,0.62057648772511,0.5766133643039938,0.6151856390902335,-0.016349138001529484
2,1521216000,0.5528,0.0,0.5528,2,0,0.0,21,5,26,1.63,1.83,1.61,1.82,2336251.63,3808090.16,0.4885800148186709,0.6043159668533296,0.4762341789963717,0.598836501088704,-0.1102564862700331
3,1521219600,0.0,3.3333,-3.3333,0,1,0.0,6,3,9,1.64,1.68,1.61,1.62,1098742.07,1801936.99,0.494696241836107,0.5187937934151675,0.4762341789963717,0.4824261492442928,0.012270092591814219
4,1521223200,0.0,0.0,0.0,0,0,0.0,16,3,19,1.69,1.7,1.65,1.65,617808.03,1044095.57,0.5247285289349821,0.5306282510621704,0.5007752879124892,0.5007752879124892,0.023953241022492966
5,1521226800,1.1957,0.0,1.1957,3,0,0.0,11,3,14,1.59,1.7,1.57,1.7,1130802.09,1797975.32,0.4637340162321402,0.5306282510621704,0.45107561936021673,0.5306282510621704,-0.06689423483003015
6,1521230400,1.966775,0.0,1.966775,4,0,0.0,28,5,33,1.58,1.59,1.53,1.59,1353945.91,2139234.54,0.4574248470388755,0.4637340162321402,0.4252677354043441,0.4637340162321402,-0.006309169193264741
7,1521234000,1.49545,0.0,1.49545,2,0,0.0,20,5,25,1.54,1.57,1.52,1.57,837915.92,1290390.52,0.43178241642553783,0.45107561936021673,0.41871033485818504,0.45107561936021673,-0.0192932029346789
8,1521237600,0.5528,3.3333,-2.7805,2,1,2.0,15,4,19,1.58,1.59,1.53,1.53,975762.48,1541704.72,0.4574248470388755,0.4637340162321402,0.4252677354043441,0.4252677354043441,0.03215711163453139
9,1521241200,0.5528,0.0,0.5528,2,0,0.0,12,5,17,1.48,1.59,1.46,1.54,2435472.55,3604499.37,0.3920420877760237,0.4637340162321402,0.37843643572024505,0.43178241642553783,-0.039740328649514156
10,1521244800,1.65093333,0.0,1.65093333,3,0,0.0,11,3,14,1.35,1.48,1.23,1.48,4250858.02,5738658.33,0.30010459245033816,0.3920420877760237,0.20701416938432612,0.3920420877760237,-0.09193749532568551
11,1521248400,1.3764,0.0,1.3764,2,0,0.0,9,3,12,1.37,1.41,1.29,1.33,1564059.43,2142761.42,0.3148107398400336,0.34358970439007686,0.25464221837358075,0.28517894223366247,0.029631797606371135
12,1521252000,0.5528,0.0,0.5528,1,0,0.0,10,6,16,1.42,1.44,1.38,1.39,985306.29,1399134.93,0.35065687161316933,0.36464311358790924,0.3220834991691132,0.3293037471426003,0.02135312447056903
13,1521255600,1.10186667,0.0,1.10186667,3,0,0.0,17,5,22,1.39,1.42,1.37,1.41,872049.83,1212149.26,0.3293037471426003,0.35065687161316933,0.3148107398400336,0.34358970439007686,-0.014285957247476555
14,1521259200,0.5528,0.0,0.5528,1,0,0.0,11,3,14,1.38,1.4,1.37,1.39,613728.86,846945.83,0.3220834991691132,0.3364722366212129,0.3148107398400336,0.3293037471426003,-0.007220247973487082
15,1521262800,0.5528,0.7,-0.1472,2,1,2.0,12,3,15,1.39,1.4,1.37,1.37,520199.43,723077.21,0.3293037471426003,0.3364722366212129,0.3148107398400336,0.3148107398400336,0.014493007302566696
16,1521266400,1.08243333,0.0,1.08243333,3,0,0.0,16,2,18,1.45,1.45,1.4,1.4,639460.81,927218.17,0.371563556432483,0.371563556432483,0.3364722366212129,0.3364722366212129,0.035091319811270116
17,1521270000,0.5528,0.0,0.5528,2,0,0.0,18,3,21,1.43,1.49,1.42,1.45,1128223.07,1613358.99,0.3576744442718159,0.3987761199573678,0.35065687161316933,0.371563556432483,-0.013889112160667128
18,1521273600,1.3764,0.0,1.3764,2,0,0.0,11,3,14,1.48,1.51,1.44,1.45,750813.04,1111203.3,0.3920420877760237,0.412109650826833,0.36464311358790924,0.371563556432483,0.020478531343540662
19,1521277200,0.5528,2.2778,-1.725,1,1,1.0,10,4,14,1.48,1.5,1.46,1.48,500912.06,741349.85,0.3920420877760237,0.4054651081081644,0.37843643572024505,0.3920420877760237,0.0
20,1521280800,0.5528,2.2778,-1.725,1,1,1.0,10,3,13,1.41,1.47,1.41,1.47,892839.5,1258903.69,0.34358970439007686,0.3852624007906449,0.34358970439007686,0.3852624007906449,-0.04167269640056803
21,1521284400,0.5528,0.0,0.5528,1,0,0.0,7,3,10,1.39,1.42,1.39,1.4,329083.72,457426.37,0.3293037471426003,0.35065687161316933,0.3293037471426003,0.3364722366212129,-0.007168489478612594
22,1521288000,0.9146,3.3333,-2.4187,4,1,4.0,16,2,18,1.39,1.4,1.36,1.37,578139.59,803614.03,0.3293037471426003,0.3364722366212129,0.3074846997479607,0.3148107398400336,0.014493007302566696
23,1521291600,0.5528,2.2778,-1.725,2,1,2.0,10,3,13,1.39,1.4,1.37,1.38,555650.84,772354.67,0.3293037471426003,0.3364722366212129,0.3148107398400336,0.3220834991691132,0.007220247973487082
24,1521295200,0.5528,0.0,0.5528,1,0,0.0,8,3,11,1.37,1.39,1.36,1.39,643327.14,881358.18,0.3148107398400336,0.3293037471426003,0.3074846997479607,0.3293037471426003,-0.014493007302566696
25,1521298800,1.0352,3.3333,-2.2981,3,1,3.0,12,3,15,1.35,1.36,1.34,1.35,757683.07,1022872.14,0.30010459245033816,0.3074846997479607,0.29266961396282004,0.30010459245033816,0.0
26,1521302400,1.86612,0.0,1.86612,5,0,0.0,8,2,10,1.33,1.35,1.33,1.35,635308.66,844960.52,0.28517894223366247,0.30010459245033816,0.28517894223366247,0.30010459245033816,-0.01492565021667569
