,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,2.0759,0.0,2.0759,3,0,0.0,32,1,33,52.2,52.68,49.91,49.91,578.74,30246.2,3.955082494888593,3.9642358768750805,3.9102213834815176,3.9102213834815176,0.044861111407075605
1,1514894400,1.97702941,0.0,1.97702941,17,0,0.0,87,3,90,52.19,52.8,52.0,52.2,2415.17,126409.88,3.9548909056553216,3.966511190712216,3.9512437185814275,3.955082494888593,-0.00019158923327156074
2,1514898000,1.75814286,1.94813333,-0.18999048,28,3,9.3333,116,11,127,54.53,55.45,52.16,52.19,7982.65,430700.53,3.9987510089379703,4.015481713796376,3.9543159176183975,3.9548909056553216,0.043860103282648666
3,1514901600,1.83116087,0.063,1.76816087,23,1,23.0,131,5,136,53.92,54.95,53.24,54.7,3208.64,173098.34,3.987501466604052,4.006423680849631,3.974809993526911,4.001863709427935,-0.014362242823883431
4,1514905200,1.78073684,0.0,1.78073684,38,0,0.0,141,13,154,53.76,54.0,53.21,53.92,1882.92,100809.44,3.984529696214894,3.9889840465642745,3.9742463486082777,3.987501466604052,-0.0029717703891578573
5,1514908800,1.91329767,1.35246667,0.56083101,43,9,4.7778,141,12,153,53.09,53.84,52.35,53.76,5063.47,269672.81,3.97198858659558,3.9860166853364722,3.9579519373165457,3.984529696214894,-0.012541109619313762
6,1514912400,1.92559333,0.7148,1.21079333,45,1,45.0,125,11,136,53.53,53.84,52.29,53.09,4360.71,231161.03,3.98024224440529,3.9860166853364722,3.956805148200039,3.97198858659558,0.008253657809709658
7,1514916000,1.91404,0.91986,0.99418,40,10,4.0,147,9,156,52.92,54.87,51.02,53.53,12220.92,648963.24,3.968781339246755,4.004966751070884,3.9322177127136655,3.98024224440529,-0.011460905158534818
8,1514919600,1.74737381,1.15475,0.59262381,42,2,21.0,170,9,179,52.73,53.23,46.5,52.92,18507.17,922151.11,3.9651845535423784,3.974622147184666,3.8394523125933104,3.968781339246755,-0.003596785704376604
9,1514923200,1.77853333,2.78335,-1.00481667,42,2,21.0,131,13,144,53.12,53.58,52.37,52.73,3161.94,167582.92,3.9725535051681784,3.9811758641164627,3.9583339082913964,3.9651845535423784,0.00736895162579998
10,1514926800,1.78667931,0.0,1.78667931,29,0,0.0,106,14,120,53.74,53.91,52.88,53.12,2187.14,116493.25,3.984157603187345,3.9873159894635775,3.9680251955434307,3.9725535051681784,0.011604098019166731
11,1514930400,2.2976425,1.5889,0.7087425,40,2,20.0,118,18,136,53.61,53.95,52.87,53.74,2432.84,129868.49,3.9817356178394463,3.9880576917041437,3.9678360702473587,3.984157603187345,-0.0024219853478988362
12,1514934000,2.01600645,0.0,2.01600645,31,0,0.0,86,8,94,53.22,53.86,53.22,53.61,1019.84,54650.97,3.9744342655495433,3.9863880873834527,3.9744342655495433,3.9817356178394463,-0.007301352289903029
13,1514937600,2.12862308,2.2778,-0.14917692,26,1,26.0,145,7,152,53.65,53.86,52.87,53.22,2317.81,124036.02,3.9824814690767076,3.9863880873834527,3.9678360702473587,3.9744342655495433,0.00804720352716437
14,1514941200,1.91385172,0.0,1.91385172,29,0,0.0,92,12,104,52.23,54.0,52.01,53.65,4865.71,257326.56,3.955657042448207,3.9889840465642745,3.9514360077849813,3.9824814690767076,-0.026824426628500486
15,1514944800,1.82814054,1.76991667,0.05822387,37,6,6.1667,110,17,127,52.55,53.48,51.05,52.23,2832.08,147687.74,3.96176509732296,3.9793077522337423,3.9328055446106744,3.955657042448207,0.006108054874752966
16,1514948400,1.88908438,0.1,1.78908438,32,1,32.0,104,20,124,52.35,52.99,52.0,52.55,1983.5,104423.68,3.9579519373165457,3.9701032165046706,3.9512437185814275,3.96176509732296,-0.0038131600064144067
17,1514952000,2.07403448,0.9,1.17403448,29,4,7.25,126,12,138,52.19,52.99,52.03,52.35,2031.42,106341.19,3.9548909056553216,3.9701032165046706,3.9518204753022124,3.9579519373165457,-0.0030610316612240673
18,1514955600,1.95041923,0.1,1.85041923,26,1,26.0,114,10,124,53.34,53.48,52.19,52.19,1834.84,97048.62,3.9766865187538682,3.9793077522337423,3.9548909056553216,3.9548909056553216,0.021795613098546607
19,1514959200,1.80212895,2.21483333,-0.41270439,38,6,6.3333,130,11,141,54.59,55.33,52.8,53.34,5847.19,317399.11,3.9998507157936665,4.013315256910018,3.966511190712216,3.9766865187538682,0.023164197039798218
20,1514962800,1.98099677,0.0,1.98099677,31,0,0.0,122,8,130,53.63,54.59,53.29,54.59,2700.02,144243.48,3.9821086129948338,3.9998507157936665,3.975748696308691,3.9998507157936665,-0.017742102798832704
21,1514966400,2.09295172,2.2778,-0.18484828,29,15,1.9333,110,15,125,52.8,53.63,52.67,53.63,2240.65,118769.13,3.966511190712216,3.9821086129948338,3.964046033495298,3.9821086129948338,-0.015597422282617845
22,1514970000,1.97191786,1.79445,0.17746786,28,2,14.0,114,11,125,50.8,52.98,50.78,52.8,5752.59,297918.69,3.927896354584436,3.9699144838439238,3.9275025762765323,3.966511190712216,-0.03861483612777983
23,1514973600,2.03045,0.0,2.03045,34,0,0.0,106,13,119,50.88,51.82,50.5,50.8,2288.77,116795.46,3.9294699190318667,3.947776175133964,3.9219733362813143,3.927896354584436,0.0015735644474306199
24,1514977200,2.0676619,2.2778,-0.2101381,21,1,21.0,102,14,116,52.32,52.9,50.53,50.88,7026.55,365085.68,3.9573787071489432,3.9684033388642534,3.9225672193038172,3.9294699190318667,0.027908788117076533
25,1514980800,2.0812375,1.7,0.3812375,16,1,16.0,114,16,130,51.08,52.54,51.08,52.32,2872.37,149529.24,3.9333930311643384,3.961574784257394,3.9333930311643384,3.9573787071489432,-0.02398567598460488
26,1514984400,2.00273784,0.0,2.00273784,37,0,0.0,112,18,130,52.52,54.97,51.08,51.08,9195.21,490973.79,3.9611940494345954,4.006787581872569,3.9333930311643384,3.9333930311643384,0.02780101827025705
27,1514988000,2.03709211,2.2778,-0.2407079,38,1,38.0,132,15,147,52.34,53.52,52.1,52.52,1871.62,98556.09,3.9577608971019997,3.9800554158199732,3.9531649487593215,3.9611940494345954,-0.003433152332595668
28,1514991600,2.04557037,0.0,2.04557037,27,0,0.0,106,17,123,52.8,53.13,51.26,52.34,9889.53,512662.76,3.966511190712216,3.972741740462852,3.936910720935925,3.9577608971019997,0.008750293610216175
29,1514995200,1.97307308,2.14816667,-0.17509359,26,3,8.6667,80,9,89,52.25,52.87,51.6,52.8,4997.3,261375.24,3.9560398908449206,3.9678360702473587,3.9435216724875173,3.966511190712216,-0.010471299867295336
30,1514998800,1.86295758,2.40835,-0.54539243,33,4,8.25,94,12,106,52.05,52.84,51.24,52.25,2395.86,124749.82,3.952204795060978,3.9672684796541247,3.9365204770285334,3.9560398908449206,-0.003835095783942588
31,1515002400,1.81224634,1.66855,0.14369634,41,2,20.5,155,11,166,51.82,52.3,51.69,52.05,1489.54,77410.9,3.947776175133964,3.9569963710708773,3.945264339207948,3.952204795060978,-0.004428619927014044
32,1515006000,1.88690952,1.12346667,0.76344286,42,3,14.0,128,21,149,52.0,52.5,51.65,51.82,3385.73,176505.95,3.9512437185814275,3.960813169597578,3.9444901955656477,3.947776175133964,0.0034675434474635836
33,1515009600,1.82692407,1.4815,0.34542407,54,2,27.0,187,9,196,52.95,52.99,51.7,52.0,6718.91,351370.29,3.9693480720474157,3.9701032165046706,3.9454577815143836,3.9512437185814275,0.018104353465988154
