,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,2.2222,0.0,2.2222,3,0,0.0,4,0,4,80.59,80.59,79.0,80.4,280.35,22332.09,4.38937457233642,4.38937457233642,4.3694478524670215,4.387014176184921,0.002360396151499522
1,1514894400,2.1911,0.0,2.1911,6,0,0.0,21,0,21,79.9,81.57,79.56,79.69,418.38,33774.45,4.380775852772229,4.401461547312489,4.3765114539857715,4.378144107409657,0.0026317453625717135
2,1514898000,1.93003333,2.2778,-0.34776667,9,1,9.0,28,0,28,80.5,80.89,79.3,79.9,588.67,47133.23,4.388257184424518,4.393090207029862,4.373238128640803,4.380775852772229,0.007481331652289036
3,1514901600,2.2222,2.2778,-0.0556,4,1,4.0,24,3,27,79.21,80.5,78.88,80.5,1840.85,145710.17,4.372102553476188,4.388257184424518,4.36792771029438,4.388257184424518,-0.016154630948329363
4,1514905200,2.11343333,2.2778,-0.16436667,6,1,6.0,22,3,25,80.0,81.0,78.88,79.21,436.21,34710.79,4.382026634673881,4.394449154672439,4.36792771029438,4.372102553476188,0.009924081197692836
5,1514908800,1.80251818,2.0889,-0.28638182,11,4,2.75,37,4,41,80.78,81.96,79.92,80.0,687.07,55552.23,4.391729410135267,4.406231323370699,4.381026134340298,4.382026634673881,0.009702775461385649
6,1514912400,1.8324,2.2778,-0.4454,12,1,12.0,40,0,40,82.0,82.0,79.92,79.92,735.67,60025.86,4.406719247264253,4.406719247264253,4.381026134340298,4.381026134340298,0.02569311292395504
7,1514916000,1.98395,2.2778,-0.29385,10,1,10.0,39,4,43,79.5,83.1,78.88,82.0,1574.95,128216.67,4.375757021660286,4.420044701861403,4.36792771029438,4.406719247264253,-0.03096222560396722
8,1514919600,1.84968333,2.2778,-0.42811667,12,1,12.0,25,0,25,78.68,80.47,77.79,79.8,1414.1,111531.69,4.365388993520859,4.387884444158042,4.354012888218683,4.379523504455763,-0.014134510934904476
9,1514923200,2.00801111,2.2778,-0.26978889,9,2,4.5,28,0,28,80.9,81.27,79.09,79.25,306.9,24508.82,4.393213824064446,4.397776944765114,4.370586444531326,4.37260741275739,0.020606411307055872
