,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514894400,0.7278,2.2778,-1.55,3,1,3.0,9,1,10,0.6019,0.6019,0.6019,0.6019,0.0,0.0,-0.5076639604284119,-0.5076639604284119,-0.5076639604284119,-0.5076639604284119,0.0
1,1514898000,2.5185,2.2778,0.2407,3,2,1.5,19,0,19,0.6156,0.6156,0.6156,0.6156,0.0,0.0,-0.4851578770174128,-0.4851578770174128,-0.4851578770174128,-0.4851578770174128,0.0
2,1514901600,2.28085556,2.2778,0.00305556,9,1,9.0,20,0,20,0.6145,0.6145,0.6145,0.6145,0.0,0.0,-0.48694634997604747,-0.48694634997604747,-0.48694634997604747,-0.48694634997604747,0.0
3,1514905200,1.58333333,2.2778,-0.69446667,3,1,3.0,16,2,18,0.6151,0.6151,0.6151,0.6151,0.0,0.0,-0.4859704227678145,-0.4859704227678145,-0.4859704227678145,-0.4859704227678145,0.0
4,1514908800,1.72715,2.2778,-0.55065,6,1,6.0,26,0,26,0.6143,0.6143,0.6143,0.6143,0.0,0.0,-0.48727187081225537,-0.48727187081225537,-0.48727187081225537,-0.48727187081225537,0.0
5,1514912400,2.01406,1.6173,0.39676,5,3,1.6667,20,2,22,0.6184,0.6184,0.6184,0.6184,0.0,0.0,-0.48061978170892494,-0.48061978170892494,-0.48061978170892494,-0.48061978170892494,0.0
6,1514916000,2.16665,2.2778,-0.11115,2,1,2.0,14,1,15,0.6078,0.6078,0.6078,0.6078,0.0,0.0,-0.4979093984994443,-0.4979093984994443,-0.4979093984994443,-0.4979093984994443,0.0
7,1514919600,2.07406667,2.2778,-0.20373333,3,1,3.0,22,0,22,0.6074,0.6074,0.6074,0.6074,0.0,0.0,-0.4985677263704886,-0.4985677263704886,-0.4985677263704886,-0.4985677263704886,0.0
8,1514923200,2.344,2.2778,0.0662,4,1,4.0,14,0,14,0.61,0.61,0.61,0.61,0.0,0.0,-0.4942963218147801,-0.4942963218147801,-0.4942963218147801,-0.4942963218147801,0.0
9,1514926800,2.37036667,2.2778,0.09256667,3,1,3.0,16,1,17,0.615,0.615,0.615,0.615,0.0,0.0,-0.4861330111756192,-0.4861330111756192,-0.4861330111756192,-0.4861330111756192,0.0
10,1514930400,1.65802222,2.2778,-0.61977778,9,1,9.0,22,0,22,0.6083,0.6083,0.6083,0.6083,0.0,0.0,-0.4970870976554775,-0.4970870976554775,-0.4970870976554775,-0.4970870976554775,0.0
11,1514934000,2.138875,2.2778,-0.138925,4,2,2.0,14,1,15,0.612,0.612,0.612,0.612,0.0,0.0,-0.491022996469811,-0.491022996469811,-0.491022996469811,-0.491022996469811,0.0
12,1514937600,1.1111,2.2778,-1.1667,1,1,1.0,9,0,9,0.6242,0.6242,0.6242,0.6242,0.0,0.0,-0.47128444914545803,-0.47128444914545803,-0.47128444914545803,-0.47128444914545803,0.0
13,1514941200,1.8611,2.2778,-0.4167,5,1,5.0,17,0,17,0.6166,0.6166,0.6166,0.6166,0.0,0.0,-0.483534763530087,-0.483534763530087,-0.483534763530087,-0.483534763530087,0.0
14,1514944800,0.9537,2.2778,-1.3241,3,1,3.0,10,1,11,0.6116,0.6116,0.6116,0.6116,0.0,0.0,-0.49167680492722976,-0.49167680492722976,-0.49167680492722976,-0.49167680492722976,0.0
15,1514948400,0.0,0.85926667,-0.85926667,0,3,0.0,10,0,10,0.6111,0.6111,0.6111,0.6111,0.0,0.0,-0.49249466708126727,-0.49249466708126727,-0.49249466708126727,-0.49249466708126727,0.0
