,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1526313600,0.57776667,0.0,0.57776667,6,0,0.0,57,4,61,0.021,0.0211,0.02092,0.0211,90325.61,1896.81,-3.863232841258714,-3.858482238500116,-3.867049639785415,-3.858482238500116,-0.004750602758597733
1,1526317200,1.60005556,1.84224,-0.24218445,18,10,1.8,84,4,88,0.02091,0.02116,0.02091,0.021,470503.21,9869.51,-3.867527765541595,-3.8556426719920385,-3.867527765541595,-3.863232841258714,-0.004294924282881141
2,1526320800,1.65928182,2.0176,-0.35831818,11,6,1.8333,88,3,91,0.021,0.02105,0.02089,0.02091,182390.0,3813.95,-3.863232841258714,-3.8608547188537465,-3.868484703413663,-3.867527765541595,0.004294924282881141
3,1526324400,1.81295,1.97708,-0.16413,6,5,1.2,66,2,68,0.02122,0.02124,0.0208,0.021,394180.01,8239.85,-3.8528111457963,-3.851869082608399,-3.872802292274865,-3.863232841258714,0.010421695462413894
4,1526328000,1.397225,1.1482,0.249025,4,1,4.0,54,5,59,0.02137,0.02137,0.02101,0.02122,282143.04,5972.06,-3.845767209651081,-3.845767209651081,-3.862756764125228,-3.8528111457963,0.007043936145219032
5,1526331600,1.9869,1.83484,0.15206,7,5,1.4,63,7,70,0.02111,0.02137,0.0211,0.0211,323888.9,6896.39,-3.858008417121908,-3.845767209651081,-3.858482238500116,-3.858482238500116,0.00047382137820806136
6,1526335200,1.83576,2.35,-0.5142399999999999,10,2,5.0,60,1,61,0.0206,0.02121,0.0206,0.02111,642040.55,13369.55,-3.8824642031866015,-3.853282510405546,-3.8824642031866015,-3.858008417121908,-0.024455786064693452
7,1526338800,0.82061429,1.1482,-0.32758572,7,2,3.5,59,5,64,0.02066,0.02119,0.0206,0.0206,75936.76,1569.58,-3.8795558152906446,-3.854225906701929,-3.8824642031866015,-3.8824642031866015,0.002908387895956821
8,1526342400,1.12591667,0.0,1.12591667,6,0,0.0,49,2,51,0.02075,0.02118,0.02066,0.02066,101291.48,2106.72,-3.87520903230543,-3.8546979388088767,-3.8795558152906446,-3.8795558152906446,0.004346782985214848
9,1526346000,1.63055,0.0,1.63055,4,0,0.0,51,5,56,0.0205,0.02099,0.0205,0.02099,691367.34,14237.39,-3.8873303928377747,-3.8637091451495955,-3.8873303928377747,-3.8637091451495955,-0.023621247688179192
10,1526349600,1.62,0.0,1.62,5,0,0.0,52,7,59,0.0206,0.02081,0.0205,0.0205,9431.93,195.0,-3.8824642031866015,-3.872321638576594,-3.8873303928377747,-3.8873303928377747,0.004866189651173247
