,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,0.0,0.0,0.0,0,0,0.0,14,0,14,5.82,5.97,5.69,5.81,297133.08,1729314.53,1.7613002617433464,1.7867469274045107,1.7387102481382397,1.7595805708638197,0.0017196908795267252
1,1514894400,1.91895714,0.0,1.91895714,7,0,0.0,73,20,93,5.76,6.21,5.72,5.84,481691.6,2774543.62,1.7509374747078,1.8261608959453874,1.7439688053917064,1.7647307968401356,-0.01379332213233564
2,1514898000,1.89676429,2.02225,-0.12548572,14,2,7.0,67,11,78,5.73,5.93,5.68,5.91,491823.24,2818147.17,1.7457155307266483,1.780024213009634,1.7369512327330598,1.776645831418007,-0.030930300691358603
3,1514901600,2.06806111,2.2778,-0.20973889,18,1,18.0,68,5,73,5.86,6.11,5.65,5.67,421645.18,2470840.75,1.7681496035889213,1.809926773183504,1.7316555451583497,1.7351891177396608,0.03296048584926048
4,1514905200,1.74802353,2.2778,-0.52977647,17,2,8.5,70,4,74,5.85,6.07,5.8,5.83,276441.67,1617183.77,1.766441661243765,1.803358605071407,1.7578579175523736,1.763017000362401,0.00342466088136395
5,1514908800,1.90200968,2.2778,-0.37579032,31,1,31.0,98,4,102,5.7,5.85,5.66,5.82,214180.71,1220830.05,1.7404661748405046,1.766441661243765,1.7334238922150915,1.7613002617433464,-0.02083408690284183
6,1514912400,1.74648261,2.45186667,-0.70538406,23,3,7.6667,80,3,83,5.74,5.79,5.7,5.77,149680.56,859166.41,1.747459210331475,1.7561322915849038,1.7404661748405046,1.7526720805200082,-0.005212870188533225
7,1514916000,2.18102314,2.51853333,-0.33751019,121,3,40.3333,185,4,189,5.43,6.06,5.26,6.04,688979.28,3741157.49,1.691939133945844,1.801709800081223,1.6601310267496185,1.7984040119467235,-0.10646487800087945
8,1514919600,1.953884,2.2778,-0.323916,25,1,25.0,92,6,98,5.69,5.69,5.05,5.5,753327.39,4286432.85,1.7387102481382397,1.7387102481382397,1.6193882432872684,1.7047480922384253,0.03396215589981444
9,1514923200,2.05416875,2.28228,-0.22811125,16,5,3.2,82,14,96,5.7,5.75,5.37,5.7,438504.49,2499475.59,1.7404661748405046,1.749199854809259,1.6808279085207734,1.7404661748405046,0.0
10,1514926800,2.032225,2.2778,-0.245575,20,1,20.0,81,6,87,5.9,5.93,5.63,5.72,324225.48,1912930.33,1.7749523509116738,1.780024213009634,1.728109442151599,1.7439688053917064,0.030983545519967404
11,1514930400,2.00521,1.4065,0.5987100000000001,20,2,10.0,86,4,90,6.51,6.53,5.78,5.94,694078.87,4518453.44,1.873339456220478,1.8764069432883397,1.7544036826842861,1.7817091333745536,0.09163032284592432
12,1514934000,2.14181818,2.2778,-0.13598182,22,1,22.0,92,3,95,6.76,7.13,6.44,6.46,1330783.61,8996097.2,1.9110228900548727,1.9643112344262046,1.8625285401162623,1.8656293177945105,0.045393572260362225
13,1514937600,2.05998696,2.2778,-0.21781304,23,1,23.0,93,4,97,6.56,6.96,6.26,6.9,652161.1,4278176.82,1.8809906029559975,1.9401794743463283,1.8341801851120072,1.9315214116032138,-0.05053080864721626
14,1514941200,2.09869412,2.58556,-0.48686588,17,5,3.4,86,9,95,6.18,6.66,6.08,6.56,404269.84,2498387.61,1.8213182714695995,1.8961194845522977,1.8050046959780757,1.8809906029559975,-0.059672331486398056
