,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,1.93055,0.0,1.93055,2,0,0.0,7,0,7,2.36,2.37,2.34,2.37,53224.1,125608.88,0.8586616190375187,0.8628899551470398,0.85015092936961,0.8628899551470398,-0.004228336109521114
1,1514894400,2.35553333,2.2778,0.07773333,12,1,12.0,28,6,34,2.38,2.41,2.35,2.35,100152.36,238362.62,0.8671004876833833,0.8796267475025636,0.8544153281560676,0.8544153281560676,0.012685159527315748
2,1514898000,1.39695,2.2778,-0.88085,14,1,14.0,48,20,68,2.44,2.51,2.44,2.44,126528.53,308729.61,0.8919980393051105,0.9202827531436925,0.8919980393051105,0.8919980393051105,0.0
3,1514901600,1.80798519,0.47350769,1.33447749,27,13,2.0769,170,25,195,2.47,2.48,2.4,2.44,103856.53,256525.63,0.9042181506398859,0.9082585601768908,0.8754687373538999,0.8919980393051105,0.012220111334775408
4,1514905200,1.7888099999999998,1.95695,-0.16814,10,4,2.5,68,29,97,2.44,2.5,2.34,2.47,316236.39,771616.79,0.8919980393051105,0.9162907318741551,0.85015092936961,0.9042181506398859,-0.012220111334775408
5,1514908800,2.04317692,1.5072,0.53597692,13,5,2.6,65,24,89,2.44,2.48,2.42,2.43,472759.08,1153532.16,0.8919980393051105,0.9082585601768908,0.883767540168595,0.8878912573524571,0.004106781952653349
6,1514912400,2.17663846,1.7725,0.40413846,13,3,4.3333,67,14,81,2.46,2.48,2.45,2.46,213227.04,524538.52,0.9001613499442714,0.9082585601768908,0.8960880245566357,0.9001613499442714,0.0
7,1514916000,1.91625714,2.46224,-0.54598286,14,5,2.8,83,13,96,2.37,2.48,2.32,2.42,329318.6,780485.08,0.8628899551470398,0.9082585601768908,0.8415671856782185,0.883767540168595,-0.020877585021555234
8,1514919600,1.96075,1.68271667,0.27803333,16,6,2.6667,44,8,52,2.42,2.48,2.29,2.37,232802.51,563382.07,0.883767540168595,0.9082585601768908,0.8285518175661483,0.8628899551470398,0.020877585021555234
9,1514923200,1.891964,2.05025,-0.15828599999999998,25,4,6.25,70,5,75,2.49,2.52,2.41,2.43,190472.82,474277.32,0.9122827104766164,0.9242589015233319,0.8796267475025636,0.8878912573524571,0.024391453124159246
10,1514926800,1.98795263,1.5852,0.40275263,19,3,6.3333,63,9,72,2.61,2.64,2.51,2.52,179567.77,468671.88,0.959350221334602,0.9707789171582248,0.9202827531436925,0.9242589015233319,0.035091319811270116
11,1514930400,1.79388571,0.85926667,0.93461905,14,3,4.6667,52,11,63,2.64,2.66,2.54,2.58,191684.75,506047.74,0.9707789171582248,0.9783261227936078,0.9321640810304452,0.9477893989335261,0.022989518224698746
12,1514934000,1.66408571,2.04075,-0.37666429,14,2,7.0,59,2,61,2.61,2.67,2.57,2.65,209713.6,547352.5,0.959350221334602,0.9820784724121582,0.9439058989071284,0.9745596399981308,-0.015209418663528762
13,1514937600,1.93820667,2.2778,-0.33959333,15,1,15.0,50,12,62,2.64,2.68,2.6,2.66,275971.23,728564.05,0.9707789171582248,0.9858167945227654,0.9555114450274363,0.9783261227936078,-0.007547205635382914
14,1514941200,1.75188333,1.45093333,0.30095,24,3,8.0,68,12,80,2.69,2.93,2.59,2.61,573232.91,1541996.53,0.9895411936137477,1.075002423028976,0.9516578757114463,0.959350221334602,0.03019097227914569
15,1514944800,2.16173333,0.9863,1.17543333,24,5,4.8,75,6,81,2.72,2.74,2.64,2.66,354982.71,965552.97,1.000631880307906,1.007957920399979,0.9707789171582248,0.9783261227936078,0.022305757514298197
16,1514948400,1.78406842,0.93556,0.84850842,19,5,3.8,75,21,96,2.7,2.74,2.66,2.71,462064.69,1247574.66,0.9932517730102834,1.007957920399979,0.9783261227936078,0.9969486348916096,-0.003696861881326119
17,1514952000,1.91858696,1.4507,0.46788696,23,4,5.75,97,9,106,2.74,2.75,2.69,2.72,407724.98,1117166.45,1.007957920399979,1.0116009116784799,0.9895411936137477,1.000631880307906,0.0073260400920729385
18,1514955600,1.98345,1.43426667,0.54918333,22,3,7.3333,78,18,96,2.84,3.03,2.76,2.78,758984.93,2155517.2,1.0438040521731147,1.1085626195212777,1.0152306797290584,1.0224509277025455,0.02135312447056914
19,1514959200,1.81371765,0.802775,1.01094265,17,4,4.25,89,17,106,2.8,2.91,2.74,2.87,389487.13,1090563.96,1.0296194171811581,1.0681530811834012,1.007957920399979,1.0543120297715298,-0.0246926125903717
20,1514962800,1.85315,1.77335,0.0798,18,2,9.0,52,17,69,2.88,2.91,2.81,2.81,296555.17,854078.89,1.0577902941478545,1.0681530811834012,1.0331844833456545,1.0331844833456545,0.024605810802200034
21,1514966400,2.05887,1.7153,0.34357,10,2,5.0,49,11,60,2.86,2.87,2.81,2.85,191894.01,548816.87,1.0508216248317612,1.0543120297715298,1.0331844833456545,1.0473189942805592,0.003502630551202035
22,1514970000,1.87340625,1.11976667,0.75363958,16,3,5.3333,74,7,81,2.71,2.82,2.7,2.81,278887.33,755784.66,0.9969486348916096,1.0367368849500223,0.9932517730102834,1.0331844833456545,-0.03623584845404493
23,1514973600,1.99998,0.87113333,1.12884667,10,3,3.3333,52,5,57,2.76,2.82,2.7,2.71,158662.6,437908.78,1.0152306797290584,1.0367368849500223,0.9932517730102834,0.9969486348916096,0.018282044837448885
