,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1522144800,1.67408333,1.4,0.27408333,6,11,0.5455,38,2,40,3.42,3.44,3.35,3.38,118661.0,405820.62,1.2296405510745139,1.235471471385307,1.208960345836975,1.2178757094949273,0.011764841579586571
1,1522148400,1.52826667,1.5852,-0.05693333,6,3,2.0,31,1,32,3.4,3.4,3.36,3.39,67635.0,229959.0,1.2237754316221157,1.2237754316221157,1.2119409739751128,1.220829921392359,0.0029455102297566427
2,1522152000,1.465,1.35,0.115,5,1,5.0,29,0,29,3.37,3.41,3.36,3.41,49785.0,167775.45,1.2149127443642704,1.2267122912954254,1.2119409739751128,1.2267122912954254,-0.011799546931154925
3,1522155600,1.43983333,2.00835,-0.56851667,6,4,1.5,25,0,25,3.52,3.54,3.42,3.44,125942.0,443315.84,1.2584609896100056,1.264126727145683,1.2296405510745139,1.235471471385307,0.022989518224698635
4,1522159200,2.05695,1.079175,0.977775,4,4,1.0,18,1,19,3.54,3.6,3.48,3.51,104796.0,370977.84,1.264126727145683,1.2809338454620642,1.247032293786383,1.2556160374777743,0.0085106896679088
5,1522162800,1.82225,0.0,1.82225,2,0,0.0,12,0,12,3.58,3.58,3.51,3.54,85079.0,304582.82,1.275362800412609,1.275362800412609,1.2556160374777743,1.264126727145683,0.011236073266925883
6,1522166400,1.23619,0.0,1.23619,30,0,0.0,47,3,50,3.58,3.65,3.57,3.6,69695.0,249508.1,1.275362800412609,1.2947271675944,1.2725655957915476,1.2809338454620642,-0.00557104504945527
7,1522170000,1.324885,1.35,-0.025115,20,1,20.0,35,2,37,3.39,3.57,3.38,3.5,129098.0,437642.22,1.220829921392359,1.2725655957915476,1.2178757094949273,1.252762968495368,-0.03193304710300904
8,1522173600,1.1667,1.5963,-0.4296,9,3,3.0,24,0,24,3.45,3.5,3.33,3.38,102935.0,355125.75,1.2383742310432684,1.252762968495368,1.2029723039923526,1.2178757094949273,0.020498521548341087
9,1522177200,1.1667,1.35,-0.1833,19,1,19.0,89,0,89,3.4,3.51,3.32,3.46,88800.0,301920.0,1.2237754316221157,1.2556160374777743,1.199964782928397,1.2412685890696329,-0.017493157447517227
10,1522180800,1.1782913000000002,0.0,1.1782913000000002,23,0,0.0,40,0,40,3.46,3.49,3.38,3.44,49389.0,170885.94,1.2412685890696329,1.2499017362143359,1.2178757094949273,1.235471471385307,0.005797117684325892
11,1522184400,1.23687368,1.9,-0.66312632,19,2,9.5,45,0,45,3.47,3.49,3.45,3.49,50460.0,175096.2,1.244154593958768,1.2499017362143359,1.2383742310432684,1.2499017362143359,-0.0057471422555679386
12,1522188000,1.47919375,1.9,-0.42080625,16,1,16.0,35,1,36,3.47,3.48,3.45,3.46,28072.0,97409.84,1.244154593958768,1.247032293786383,1.2383742310432684,1.2412685890696329,0.002886004889135041
13,1522191600,1.375025,1.9,-0.524975,4,1,4.0,23,5,28,3.37,3.4,3.34,3.39,64293.0,216667.41,1.2149127443642704,1.2237754316221157,1.205970806988609,1.220829921392359,-0.005917177028088583
14,1522195200,1.59908889,2.25,-0.65091111,9,2,4.5,22,0,22,3.29,3.4,3.28,3.36,127151.0,418326.79,1.1908875647772805,1.2237754316221157,1.1878434223960523,1.2119409739751128,-0.021053409197832273
15,1522198800,1.59076667,0.6611,0.92966667,3,1,3.0,29,0,29,3.33,3.39,3.29,3.3,50457.0,168021.81,1.2029723039923526,1.220829921392359,1.1908875647772805,1.1939224684724346,0.009049835519918004
