,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,2.1161,0.6,1.5161,4,1,4.0,12,1,13,1.07,1.07,1.05,1.06,9934.91,10759.3,0.06765864847381486,0.06765864847381486,0.04879016416943204,0.058268908123975824,0.00938974034983904
1,1514894400,1.80851,2.6722,-0.86369,10,1,10.0,72,10,82,1.07,1.07,1.06,1.07,11895.57,13197.92,0.06765864847381486,0.06765864847381486,0.058268908123975824,0.06765864847381486,0.0
2,1514898000,2.06153182,2.16945,-0.10791818,22,2,11.0,96,26,122,1.11,1.11,1.07,1.07,14267.19,15641.77,0.10436001532424286,0.10436001532424286,0.06765864847381486,0.06765864847381486,0.03670136685042799
3,1514901600,2.06666316,2.2778,-0.21113684,19,3,6.3333,106,16,122,1.08,1.11,1.07,1.11,15350.41,16899.55,0.0769610411361284,0.10436001532424286,0.06765864847381486,0.10436001532424286,-0.02739897418811446
4,1514905200,1.83657619,2.2778,-0.44122381,21,1,21.0,117,29,146,1.09,1.09,1.07,1.08,19524.9,21451.83,0.08617769624105241,0.08617769624105241,0.06765864847381486,0.0769610411361284,0.009216655104924018
5,1514908800,2.00845405,1.2639,0.74455405,37,2,18.5,137,24,161,1.11,1.14,1.09,1.09,31237.27,35556.73,0.10436001532424286,0.131028262406404,0.08617769624105241,0.08617769624105241,0.018182319083190443
6,1514912400,1.83460588,2.2778,-0.44319412,34,1,34.0,134,27,161,1.13,1.14,1.11,1.11,16793.17,19087.62,0.12221763272424911,0.131028262406404,0.10436001532424286,0.10436001532424286,0.017857617400006257
7,1514916000,2.21099762,1.2639,0.94709762,42,4,10.5,137,24,161,1.13,1.17,1.08,1.13,52437.23,61861.62,0.12221763272424911,0.1570037488096647,0.0769610411361284,0.12221763272424911,0.0
8,1514919600,2.05147368,2.2778,-0.22632632,38,1,38.0,114,14,128,1.09,1.14,1.05,1.12,26010.83,28671.59,0.08617769624105241,0.131028262406404,0.04879016416943204,0.11332868530700327,-0.027150989065950856
9,1514923200,1.53067576,2.2778,-0.74712424,33,1,33.0,125,18,143,1.09,1.1,1.06,1.09,15816.68,17403.18,0.08617769624105241,0.09531017980432493,0.058268908123975824,0.08617769624105241,0.0
10,1514926800,1.64321765,2.08335,-0.44013235,34,2,17.0,139,21,160,1.1,1.11,1.09,1.09,17099.28,19197.37,0.09531017980432493,0.10436001532424286,0.08617769624105241,0.08617769624105241,0.009132483563272523
11,1514930400,2.11207931,2.2778,-0.16572069,29,2,14.5,139,24,163,1.1,1.11,1.09,1.09,13004.03,14428.69,0.09531017980432493,0.10436001532424286,0.08617769624105241,0.08617769624105241,0.009132483563272523
12,1514934000,2.02333,2.2778,-0.25447,20,1,20.0,92,24,116,1.13,1.13,1.09,1.1,13143.42,14729.23,0.12221763272424911,0.12221763272424911,0.08617769624105241,0.09531017980432493,0.026907452919924177
13,1514937600,1.9595,1.4389,0.5206,26,2,13.0,94,35,129,1.19,1.19,1.12,1.13,28555.34,33041.02,0.17395330712343798,0.17395330712343798,0.11332868530700327,0.12221763272424911,0.05173567439918887
14,1514941200,2.15728857,3.19445,-1.03716143,35,4,8.75,124,34,158,1.19,1.2,1.15,1.19,15660.09,18830.37,0.17395330712343798,0.1823215567939546,0.13976194237515863,0.17395330712343798,0.0
15,1514944800,1.95545625,2.74215,-0.78669375,32,6,5.3333,125,22,147,1.17,1.19,1.17,1.19,8818.66,10505.72,0.1570037488096647,0.17395330712343798,0.1570037488096647,0.17395330712343798,-0.01694955831377329
16,1514948400,2.03028214,1.95926667,0.07101548,28,3,9.3333,113,43,156,1.18,1.19,1.15,1.17,13249.15,15703.6,0.16551443847757333,0.17395330712343798,0.13976194237515863,0.1570037488096647,0.008510689667908633
17,1514952000,1.95435357,0.82593333,1.12842024,28,3,9.3333,104,26,130,1.17,1.18,1.15,1.18,13583.61,16101.58,0.1570037488096647,0.16551443847757333,0.13976194237515863,0.16551443847757333,-0.008510689667908633
18,1514955600,2.02302273,0.81296667,1.21005606,44,3,14.6667,116,21,137,1.22,1.24,1.16,1.17,24639.24,30222.91,0.19885085874516517,0.2151113796169455,0.14842000511827322,0.1570037488096647,0.041847109935500476
19,1514959200,1.98599167,2.2778,-0.29180833,24,1,24.0,99,21,120,1.23,1.23,1.2,1.22,20721.7,25247.87,0.20701416938432612,0.20701416938432612,0.1823215567939546,0.19885085874516517,0.008163310639160953
20,1514962800,2.17319677,2.08335,0.08984677,31,2,15.5,132,35,167,1.25,1.26,1.22,1.23,24918.36,31250.97,0.22314355131420976,0.23111172096338664,0.19885085874516517,0.20701416938432612,0.01612938192988364
21,1514966400,2.12586207,2.2778,-0.15193793,29,16,1.8125,139,46,185,1.27,1.29,1.24,1.25,22027.79,28583.32,0.23901690047049992,0.25464221837358075,0.2151113796169455,0.22314355131420976,0.015873349156290156
22,1514970000,2.17268378,2.2778,-0.10511622,37,1,37.0,147,30,177,1.23,1.28,1.23,1.27,29594.65,38377.1,0.20701416938432612,0.2468600779315258,0.20701416938432612,0.23901690047049992,-0.0320027310861738
23,1514973600,1.92635926,1.39665,0.52970926,27,2,13.5,152,24,176,1.21,1.27,1.18,1.23,24190.56,31096.88,0.1906203596086497,0.23901690047049992,0.16551443847757333,0.20701416938432612,-0.01639380977567642
24,1514977200,2.19795263,2.2778,-0.07984737,19,1,19.0,121,22,143,1.23,1.25,1.19,1.19,18044.0,23771.72,0.20701416938432612,0.22314355131420976,0.17395330712343798,0.17395330712343798,0.03306086226088814
25,1514980800,1.83192917,2.8889,-1.05697083,24,2,12.0,136,33,169,1.24,1.25,1.23,1.24,21117.34,27867.94,0.2151113796169455,0.22314355131420976,0.20701416938432612,0.2151113796169455,0.0
26,1514984400,2.15501143,2.2778,-0.12278857,35,1,35.0,122,28,150,1.3,1.31,1.23,1.24,53137.08,69315.48,0.26236426446749106,0.2700271372130602,0.20701416938432612,0.2151113796169455,0.04725288485054557
27,1514988000,2.03722391,1.324075,0.71314891,46,4,11.5,152,33,185,1.33,1.34,1.28,1.3,38014.6,50680.65,0.28517894223366247,0.29266961396282004,0.2468600779315258,0.26236426446749106,0.02281467776617141
28,1514991600,1.83371786,2.2778,-0.44408214,28,1,28.0,122,38,160,1.35,1.35,1.31,1.33,41358.2,56735.35,0.30010459245033816,0.30010459245033816,0.2700271372130602,0.28517894223366247,0.01492565021667569
29,1514995200,2.05904815,1.03045,1.02859815,27,2,13.5,128,48,176,1.45,1.51,1.34,1.34,96875.22,146661.49,0.371563556432483,0.412109650826833,0.29266961396282004,0.29266961396282004,0.07889394246966297
30,1514998800,1.83467879,2.27035,-0.43567121,33,2,16.5,166,44,210,1.38,1.55,1.37,1.45,103938.29,152939.23,0.3220834991691132,0.4382549309311553,0.3148107398400336,0.371563556432483,-0.04948005726336979
31,1515002400,1.93386078,1.75555,0.17831078,51,4,12.75,182,26,208,1.45,1.5,1.37,1.38,56431.99,83645.82,0.371563556432483,0.4054651081081644,0.3148107398400336,0.3220834991691132,0.04948005726336979
32,1515006000,1.86583529,2.05038,-0.18454471,34,10,3.4,143,29,172,1.5,1.53,1.45,1.45,40900.83,63282.06,0.4054651081081644,0.4252677354043441,0.371563556432483,0.371563556432483,0.033901551675681374
33,1515009600,1.9360359,1.3477,0.5883359,39,4,9.75,143,30,173,1.53,1.53,1.37,1.5,57717.19,87813.27,0.4252677354043441,0.4252677354043441,0.3148107398400336,0.4054651081081644,0.01980262729617971
34,1515013200,2.03982955,2.2778,-0.23797046,44,3,14.6667,175,58,233,1.68,1.73,1.5,1.53,146578.39,239723.63,0.5187937934151675,0.5481214085096876,0.4054651081081644,0.4252677354043441,0.09352605801082342
35,1515016800,2.05361707,2.78103738,-0.72742031,41,214,0.1916,347,61,408,1.65,1.69,1.59,1.67,58089.04,100400.15,0.5007752879124892,0.5247285289349821,0.4637340162321402,0.5128236264286637,-0.012048338516174595
36,1515020400,2.19733171,1.2249,0.97243171,41,2,20.5,123,95,218,1.75,1.78,1.61,1.64,40998.26,70140.37,0.5596157879354227,0.5766133643039938,0.4762341789963717,0.494696241836107,0.06491954609931566
