,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,2.00666667,1.3395,0.66716667,3,1,3.0,33,1,34,348.39,352.68,346.78,352.46,1484.47,520072.1,5.853322541925776,5.865561130218826,5.848690573116527,5.864937140636223,-0.011614598710447233
1,1514894400,1.69226429,1.51296667,0.17929762,14,3,4.6667,155,26,181,353.76,354.53,348.39,348.39,1504.16,530030.07,5.868618717109136,5.870792968625717,5.853322541925776,5.853322541925776,0.015296175183360461
2,1514898000,1.95337353,1.77685,0.17652353,34,6,5.6667,161,15,176,365.56,366.15,353.71,353.78,4524.25,1633160.47,5.901430424404001,5.903043085507079,5.86847736835913,5.868675251015361,0.0327551733886402
3,1514901600,1.97624865,1.63366667,0.34258198,37,6,6.1667,216,13,229,364.11,365.61,361.4,365.61,2702.98,981159.76,5.89745601978638,5.901567191503521,5.889985378158128,5.901567191503521,-0.004111171717140927
4,1514905200,1.92775625,1.6695625,0.25819375,32,8,4.0,200,10,210,359.77,364.59,357.21,364.39,2621.28,945231.3,5.885464938384792,5.898773434550819,5.878323844131193,5.898224722638234,-0.012759784253441708
5,1514908800,1.77946579,1.56230667,0.21715912,38,15,2.5333,263,21,284,361.23,366.48,359.83,359.83,2445.79,888357.97,5.889514874572237,5.903943949578487,5.885631697695906,5.885631697695906,0.003883176876330552
6,1514912400,1.90433214,1.59855,0.30578214,56,8,7.0,247,11,258,357.19,362.53,352.96,361.23,4048.27,1448981.16,5.878267853089746,5.893107229491114,5.866354736065138,5.889514874572237,-0.011247021482491348
7,1514916000,2.05013662,1.65752632,0.3926103,71,19,3.7368,262,15,277,360.95,370.3,356.07,357.19,6103.67,2228269.17,5.88873944458517,5.914313487919567,5.875127340736523,5.878267853089746,0.010471591495424093
8,1514919600,1.96552353,1.34552353,0.62,51,17,3.0,246,9,255,355.1,364.13,346.97,360.95,6970.81,2478513.14,5.872399439949042,5.897510946733554,5.849238320877969,5.88873944458517,-0.016340004636127503
9,1514923200,1.853722,1.82805,0.025672000000000004,50,8,6.25,186,11,197,358.04,359.66,352.85,355.1,2587.21,923463.73,5.880644712002738,5.885159140737051,5.86604303744684,5.872399439949042,0.00824527205369563
10,1514926800,1.73866889,1.56853333,0.17013556,45,3,15.0,175,44,219,361.82,362.61,357.42,358.04,4234.5,1527892.92,5.891146850593115,5.893327876539475,5.8789115608686515,5.880644712002738,0.010502138590377186
11,1514930400,2.0763,1.1845,0.8918,45,8,5.625,213,38,251,362.36,363.47,360.01,361.82,2542.04,920412.11,5.892638192801087,5.895696762618602,5.886131808842138,5.891146850593115,0.0014913422079718686
12,1514934000,2.02598846,1.6269999999999998,0.39898846,26,7,3.7143,185,20,205,364.44,367.27,359.69,362.5,4479.42,1628080.91,5.898361928845658,5.90609727238668,5.8852425493698926,5.893024474294729,0.005337454550928378
13,1514937600,2.0527375,1.93968571,0.11305179,32,7,4.5714,210,18,228,363.73,366.1,362.15,364.43,2427.57,884858.86,5.896411834156222,5.902906520126191,5.892058490641335,5.898334489110175,-0.0019226549539528293
14,1514941200,1.92324483,1.27262857,0.65061626,29,7,4.1429,201,26,227,365.47,365.61,362.05,363.79,2291.63,842829.05,5.901184196477774,5.901567191503521,5.89178232383483,5.896576778075664,0.004607418402110319
15,1514944800,1.77036792,2.238,-0.46763208,53,15,3.5333,201,16,217,363.7,366.56,362.2,365.47,1537.83,560241.27,5.896329351992943,5.904162218705185,5.892196545449313,5.901184196477774,-0.004854844484831311
16,1514948400,1.90651875,1.84275833,0.06376042,48,12,4.0,190,19,209,362.28,365.7,360.52,363.7,2475.27,897547.66,5.892417393506748,5.901813325155335,5.8875474336882085,5.896329351992943,-0.003911958486194855
