,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,1.55895,0.7378,0.82115,10,2,5.0,129,11,140,0.1584,0.1585,0.1559,0.1559,1403693.79,221464.92,-1.8426317996018116,-1.8420006856648017,-1.8585405029184061,-1.8585405029184061,0.015908703316594552
1,1514894400,1.65284647,1.280992,0.37185447,170,25,6.8,1322,106,1428,0.1579,0.165,0.1576,0.1589,2586640.83,419604.16,-1.8457933577205405,-1.8018098050815563,-1.8476951015583583,-1.8394802054394668,-0.006313152281073764
2,1514898000,1.33867107,1.39812558,-0.05945451,318,43,7.3953,1489,104,1593,0.1596,0.1618,0.1571,0.1583,1830860.6,292686.48,-1.8350845939664286,-1.8213942743577458,-1.8508727337205617,-1.8432633120951707,0.008178718128742046
3,1514901600,1.30095292,1.21452188,0.08643105,342,32,10.6875,1318,129,1447,0.1523,0.1598,0.1523,0.1595,3365158.92,525897.16,-1.881903019081021,-1.8338322456499627,-1.881903019081021,-1.8357113567572378,-0.046191662323783245
4,1514905200,1.43597024,2.02034821,-0.58437798,336,56,6.0,1394,207,1601,0.146,0.1532,0.1453,0.1523,7038759.36,1049852.18,-1.9241486572738007,-1.876011021675646,-1.9289547084058998,-1.881903019081021,-0.0422456381927796
5,1514908800,1.71501591,1.80999916,-0.09498325,635,119,5.3361,2138,208,2346,0.1428,0.1495,0.142,0.146,6840103.48,998679.36,-1.946310229076653,-1.900458886151396,-1.9519282213808764,-1.9241486572738007,-0.022161571802852276
6,1514912400,1.65484232,1.93111765,-0.27627533,853,85,10.0353,2642,231,2873,0.1523,0.1546,0.142,0.1435,2970106.27,448938.66,-1.881903019081021,-1.8669141428288156,-1.9519282213808764,-1.9414202437824613,0.05951722470144016
7,1514916000,1.73286405,0.71657708,1.01628697,548,192,2.8542,2389,102,2491,0.1454,0.1525,0.1431,0.1523,2904879.13,433583.63,-1.928266713882718,-1.8805906829346708,-1.9442115924197318,-1.881903019081021,-0.046363694801697
8,1514919600,1.42791402,1.45796039,-0.03004637,542,154,3.5195,2086,108,2194,0.147,0.1502,0.1361,0.1454,9104150.33,1288065.25,-1.9173226922034008,-1.8957875396521027,-1.9943653693247168,-1.928266713882718,0.010944021679317295
9,1514923200,1.55823679,1.7428981,-0.18466131,617,105,5.8762,1791,139,1930,0.1469,0.1489,0.1412,0.1471,2741656.76,400279.17,-1.9180031958023054,-1.9044803392921736,-1.9575779539229954,-1.9166426513747452,-0.001360544427560173
10,1514926800,1.53684053,1.69276483,-0.1559243,639,145,4.4069,2700,184,2884,0.1483,0.1502,0.1449,0.1486,1424471.56,212375.17,-1.9085180298382507,-1.8957875396521027,-1.9317114296555002,-1.9064971466984781,-0.0020208831397725557
11,1514930400,1.94567201,1.71696525,0.22870676,854,118,7.2373,2760,207,2967,0.1439,0.1497,0.1435,0.1477,1742866.43,255539.2,-1.938636665088815,-1.8991219875565544,-1.9414202437824613,-1.912572089444803,-0.026064575644011878
12,1514934000,1.94716311,1.3534875,0.59367561,656,88,7.4545,2095,131,2226,0.1437,0.1474,0.14300000000000002,0.1438,1228840.21,179152.28,-1.9400274858971578,-1.9146052992269007,-1.9449106487222296,-1.9393318336951906,-0.0006956522019672118
13,1514937600,1.98386826,1.62870588,0.35516238,501,68,7.3676,1736,101,1837,0.1421,0.1443,0.1406,0.1437,2173994.23,309669.74,-1.951224243879082,-1.9358608132023118,-1.9618362996055725,-1.9400274858971578,-0.011196757981924321
14,1514941200,1.71555638,1.86525595,-0.14969957,431,168,2.5655,1583,94,1677,0.1353,0.1419,0.1353,0.1419,5793676.48,798795.52,-2.0002607438053945,-1.95263269481614,-2.0002607438053945,-1.95263269481614,-0.047628048989254435
15,1514944800,1.62137732,1.77590985,-0.15453252,441,132,3.3409,1463,79,1542,0.1386,0.1407,0.1317,0.1353,6410358.61,872812.89,-1.9761631922263343,-1.9611253148617938,-2.0272286702329017,-2.0002607438053945,0.02409755157906024
16,1514948400,1.81314661,1.64583784,0.16730877,457,74,6.1757,1524,70,1594,0.1357,0.1383,0.1315,0.1382,3014462.33,408884.3,-1.9973087121413138,-1.9783300403114246,-2.028748427364318,-1.9790533676485675,-0.01825534449274624
17,1514952000,1.72349555,2.10318547,-0.37968992,337,172,1.9593,1525,67,1592,0.1382,0.1391,0.1337,0.1357,2763480.98,379688.34,-1.9790533676485675,-1.9725621800527398,-2.0121567948742394,-1.9973087121413138,0.01825534449274624
18,1514955600,1.6890172,1.9704,-0.2813828,343,55,6.2364,1261,63,1324,0.1417,0.1458,0.1365,0.1382,3332915.07,477365.17,-1.9540431322855023,-1.9255194594075793,-1.9914306643571225,-1.9790533676485675,0.025010235363065236
19,1514959200,1.53446258,1.94326757,-0.40880499,326,37,8.8108,1332,96,1428,0.1545,0.1545,0.1404,0.1418,6294554.15,929415.38,-1.867561182644337,-1.867561182644337,-1.9632597873904263,-1.9533376648841099,0.08577648223977286
20,1514962800,1.64980351,1.7707119999999998,-0.12090849,313,25,12.52,1300,121,1421,0.1575,0.1617,0.1505,0.1553,5982387.29,934364.56,-1.8483298207164494,-1.8220125123990758,-1.8937921947932066,-1.8623965488274956,0.014066728111046256
21,1514966400,1.18667031,2.097616,-0.91094569,357,25,14.28,1016,71,1087,0.1477,0.1601,0.1472,0.1575,3499833.65,538218.68,-1.912572089444803,-1.831956658979468,-1.915963072687361,-1.8483298207164494,-0.0642422687283537
22,1514970000,1.38836392,1.93159375,-0.54322983,352,16,22.0,1101,72,1173,0.1422,0.1489,0.1413,0.1477,1800901.85,264077.16,-1.9505207616129967,-1.9044803392921736,-1.9568699892916552,-1.912572089444803,-0.03794867216819364
23,1514973600,1.36052062,1.77242381,-0.41190319,291,21,13.8571,1642,99,1741,0.1454,0.1465,0.1402,0.1422,1539451.16,220850.39,-1.928266713882718,-1.9207298505250152,-1.9646853043816475,-1.9505207616129967,0.022254047730278614
24,1514977200,1.55735657,0.60222544,0.95513113,274,114,2.4035,1589,133,1722,0.1461,0.1467,0.1431,0.1454,1023492.72,148976.89,-1.9234639602254833,-1.919365593833201,-1.9442115924197318,-1.928266713882718,0.004802753657234815
25,1514980800,1.52815155,1.10546769,0.42268386,258,65,3.9692,1809,96,1905,0.142,0.1461,0.1416,0.1461,2747467.44,394055.45,-1.9519282213808764,-1.9234639602254833,-1.9547490977225177,-1.9234639602254833,-0.028464261155393134
26,1514984400,1.48930444,1.36252656,0.12677788,315,64,4.9219,2501,84,2585,0.1396,0.1426,0.1391,0.142,3151219.27,444201.16,-1.968974088653865,-1.9477117710019414,-1.9725621800527398,-1.9519282213808764,-0.017045867272988513
27,1514988000,1.79159948,1.6609,0.13069948,383,42,9.119,1493,113,1606,0.1377,0.14300000000000002,0.1369,0.1398,4263871.92,595186.82,-1.9826778732475279,-1.9449106487222296,-1.9885045466877338,-1.9675424491824272,-0.015135424065100711
28,1514991600,1.78680732,1.59997105,0.18683627,396,38,10.4211,1779,202,1981,0.1385,0.1398,0.1362,0.1377,3584177.65,494413.57,-1.9768849533547437,-1.9675424491824272,-1.993630885266725,-1.9826778732475279,0.005792919892784187
29,1514995200,1.6413464,1.32435,0.3169964000000001,347,36,9.6389,1522,93,1615,0.1404,0.1412,0.138,0.139,3496809.07,492114.06,-1.9632597873904263,-1.9575779539229954,-1.9805015938249322,-1.973281345851445,0.01002155846101882
30,1514998800,1.44406954,1.945508,-0.50143846,371,50,7.42,1663,163,1826,0.1364,0.1447,0.1364,0.1408,2980033.03,419747.78,-1.9921635335727754,-1.9330926453446988,-1.9921635335727754,-1.960414835258195,-0.03174869831458049
31,1515002400,1.37430628,1.81942857,-0.44512229,414,35,11.8286,1635,122,1757,0.1368,0.1396,0.1351,0.1364,3414024.51,468400.88,-1.989235273793687,-1.968974088653865,-2.001740034015984,-1.9921635335727754,0.0029282597790885045
32,1515006000,1.49319047,1.91948727,-0.42629681,514,55,9.3455,2236,116,2352,0.1452,0.1493,0.1368,0.1368,6955689.21,998911.77,-1.9296431765914415,-1.9017975744369924,-1.989235273793687,-1.989235273793687,0.05959209720224545
33,1515009600,1.62770375,1.62857632,-0.00087257,347,38,9.1316,1438,98,1536,0.142,0.1455,0.1378,0.1452,2915345.02,414249.43,-1.9519282213808764,-1.9275791923705898,-1.9819519204025788,-1.9296431765914415,-0.022285044789434938
34,1515013200,1.64687953,1.55119429,0.09568524,337,35,9.6286,1374,185,1559,0.1417,0.1444,0.1401,0.1424,1910650.36,273782.24,-1.9540431322855023,-1.9351680525234112,-1.9653988256391757,-1.9491152800042617,-0.004927852281240597
35,1515016800,1.71002344,2.13080703,-0.42078359,273,128,2.1328,1318,145,1463,0.1392,0.1423,0.1381,0.1409,2455097.28,344512.98,-1.9718435310818179,-1.9498177738863303,-1.9797772185668907,-1.9597048600775024,-0.012138671004315427
36,1515020400,1.83166522,1.77527143,0.05639379,345,42,8.2143,1402,103,1505,0.1468,0.1475,0.1385,0.1392,4466275.52,643931.18,-1.9186841628017217,-1.9139271032022627,-1.9768849533547437,-1.9718435310818179,0.05315936828009615
37,1515024000,1.52406998,1.84329032,-0.31922034,473,31,15.2581,1667,94,1761,0.1422,0.1468,0.1395,0.1468,5345661.59,769005.29,-1.9505207616129967,-1.9186841628017217,-1.9696906777207166,-1.9186841628017217,-0.031836598811274985
38,1515027600,1.9316741,1.52532093,0.40635317,417,43,9.6977,1251,59,1310,0.1425,0.1425,0.1389,0.1422,5368621.59,755503.04,-1.9484132792734319,-1.9484132792734319,-1.974001029221839,-1.9505207616129967,0.0021074823395648146
39,1515031200,1.42201235,1.70946522,-0.28745287,324,69,4.6957,1376,78,1454,0.1414,0.1432,0.1367,0.1424,6654334.7,928915.31,-1.9561625255196646,-1.9435130244555918,-1.9899665352522333,-1.9491152800042617,-0.007047245515402922
40,1515034800,1.47410035,1.84741321,-0.37331285,282,53,5.3208,1107,67,1174,0.1431,0.1459,0.1397,0.1415,4001387.27,572960.26,-1.9442115924197318,-1.924833823453397,-1.968258012719221,-1.9554555618988447,0.01124396947911288
41,1515038400,1.6268454,1.48877619,0.13806921,359,42,8.5476,1212,75,1287,0.1484,0.1566,0.14,0.1431,777424.73,117592.11,-1.907843948248857,-1.8540604954254345,-1.9661128563728327,-1.9442115924197318,0.0363676441708749
42,1515042000,1.76936894,1.88010893,-0.11073999,367,56,6.5536,1559,144,1703,0.1601,0.1691,0.1484,0.1484,6391821.01,1042051.71,-1.831956658979468,-1.7772650230776024,-1.907843948248857,-1.907843948248857,0.07588728926938892
43,1515045600,1.77197008,1.65953571,0.11243437,361,84,4.2976,1724,161,1885,0.162,0.1694,0.1587,0.1596,11733568.43,1939860.39,-1.820158943749753,-1.775492496764183,-1.8407396514497736,-1.8350845939664286,0.01492565021667569
44,1515049200,1.8081443,1.44397,0.3641743,237,30,7.9,847,94,941,0.1554,0.1624,0.151,0.162,7776225.99,1217484.4,-1.86175284104859,-1.8176928512545596,-1.8904754421672127,-1.820158943749753,-0.041593897298837
45,1515052800,1.76782979,1.46471471,0.30311508,282,34,8.2941,969,83,1052,0.1635,0.1645,0.155,0.1554,11121018.44,1774061.19,-1.810942288644829,-1.8048447087767103,-1.8643301620628905,-1.86175284104859,0.05081055240376098
46,1515056400,1.54074892,1.58915926,-0.04841034,231,27,8.5556,966,69,1035,0.1636,0.1652,0.1574,0.1631,6915436.76,1120790.81,-1.8103308548134904,-1.8005984178952592,-1.8489649429988342,-1.8133917693551689,0.00306091454167845
47,1515060000,1.5781976999999998,1.77505714,-0.19685944,261,21,12.4286,866,60,926,0.1644,0.1675,0.1604,0.1636,10186980.47,1662263.85,-1.8054527963600575,-1.7867719277170158,-1.830084583549723,-1.8103308548134904,0.004878058453432921
48,1515063600,1.77146528,1.47398378,0.29748149,360,37,9.7297,1214,136,1350,0.1859,0.1873,0.1627,0.1644,23281104.46,4082690.66,-1.6825463842547386,-1.6750436695320943,-1.8158472647571449,-1.8054527963600575,0.12290641210531894
49,1515067200,1.74605108,1.80845075,-0.06239967,464,67,6.9254,1773,143,1916,0.1947,0.2042,0.1848,0.1859,34511325.62,6613174.14,-1.636295366603983,-1.5886553732515718,-1.6884811197745533,-1.6825463842547386,0.046251017650755566
50,1515070800,1.66637532,1.95858358,-0.29220826,312,67,4.6567,1181,94,1275,0.1813,0.1946,0.175,0.1946,22968563.47,4262888.58,-1.7076021612213317,-1.6368091092302324,-1.742969305058623,-1.6368091092302324,-0.07079305199109931
51,1515074400,1.58812596,1.19269318,0.39543278,416,44,9.4545,1436,85,1521,0.1806,0.1897,0.1777,0.1809,13718293.19,2525903.38,-1.711470637999252,-1.6623114020411685,-1.7276585438215315,-1.7098108865808876,-0.0016597514183642748
52,1515078000,1.54294918,1.69722571,-0.15427653,305,35,8.7143,1220,161,1381,0.1695,0.1827,0.1652,0.1807,11710633.93,2031845.99,-1.774902352161632,-1.699909815598176,-1.8005984178952592,-1.7109170813839543,-0.0639852707776778
53,1515081600,1.65505985,1.68038148,-0.02532163,269,27,9.963,1165,127,1292,0.1743,0.1743,0.1684,0.1695,1652929.45,282609.38,-1.7469773264561617,-1.7469773264561617,-1.7814131771739108,-1.774902352161632,0.027925025705470397
54,1515085200,1.64778051,1.1552,0.49258051,236,28,8.4286,1811,58,1869,0.1743,0.1743,0.1743,0.1743,0.0,0.0,-1.7469773264561617,-1.7469773264561617,-1.7469773264561617,-1.7469773264561617,0.0
55,1515088800,1.17759108,1.77739821,-0.59980714,437,56,7.8036,1253,57,1310,0.1748,0.177,0.1726,0.1743,3652839.04,636451.32,-1.744112815760702,-1.731605546408308,-1.7567785003328094,-1.7469773264561617,0.0028645106954596766
