,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1518026400,0.0,0.0,0.0,0,0,0.0,28,0,28,0.05859,0.05859,0.05801,0.05801,2086194.37,122230.13,-2.8371912454254398,-2.8371912454254398,-2.847139869504164,-2.847139869504164,0.009948624078724322
1,1518030000,1.067825,0.0,1.067825,4,0,0.0,36,0,36,0.05829,0.05862000000000001,0.05789,0.057970000000000015,1342170.14,78235.1,-2.8423247269246787,-2.8366793436993905,-2.849210620891224,-2.8478296436304955,0.005504916705816765
2,1518033600,0.2857,0.0,0.2857,1,0,0.0,20,1,21,0.058579999999999986,0.05882,0.058329999999999986,0.058329999999999986,2115468.73,123924.16,-2.83736193758255,-2.833273345856288,-2.841638738216591,-2.841638738216591,0.0042768006340412335
3,1518037200,1.263,0.0,1.263,1,0,0.0,19,2,21,0.0577,0.05819,0.057220000000000014,0.05811,1633556.72,94256.22,-2.8524981054680834,-2.8440417603135586,-2.8608517913601728,-2.8454175128951227,-0.007080592572960676
4,1518040800,0.0,0.0,0.0,0,0,0.0,23,0,23,0.055879999999999985,0.05659,0.05462,0.05596,3650714.15,204001.91,-2.8845487445933764,-2.8719229878277046,-2.907355162936578,-2.8831181291848567,-0.001430615408519742
5,1518044400,0.0,0.7188,-0.7188,0,1,0.0,24,1,25,0.05406,0.054360000000000006,0.0536,0.053979999999999986,2120062.38,114610.57,-2.9176607381338355,-2.912126689699194,-2.926206210905381,-2.919141671392279,0.00148093325844334
6,1518048000,0.0,0.0,0.0,0,0,0.0,24,1,25,0.055270000000000014,0.05558,0.054270000000000006,0.05504,2364237.6,130671.41,-2.8955250131369654,-2.8899318546677795,-2.9137836909068233,-2.899695085357049,0.004170072220083476
7,1518051600,1.0222,0.0,1.0222,1,0,0.0,23,0,23,0.05656,0.0568,0.05514,0.0564,3005045.32,169965.36,-2.8724532573938197,-2.8682189532550315,-2.8978798733864863,-2.875286120478124,0.0028328630843041935
8,1518055200,0.0,0.0,0.0,0,0,0.0,17,0,17,0.05957000000000001,0.06005,0.057720000000000014,0.0578,4645709.25,276744.9,-2.8206031873415407,-2.8125777304561446,-2.8521515450764667,-2.8507665033038054,0.030163315962264736
9,1518058800,0.0,0.0,0.0,0,0,0.0,17,4,21,0.05974,0.06038,0.05894,0.05902,3618758.14,216184.61,-2.817753466194173,-2.807097354703444,-2.831235301672588,-2.8298789094673436,0.012125443273170333
