,time,positive_score_en,negative_score_en,score_en,positive_volume_en,negative_volume_en,volume_ratio_en,total_volume_en,total_volume_non_en,total_volume_global,close,high,low,open,volumefrom,volumeto,logclose,loghigh,loglow,logopen,fluctuation
0,1514890800,2.01,0.0,2.01,2,0,0.0,11,0,11,0.9135,0.9355,0.9033,0.9333,6484.77,5938.6,-0.09047190316407568,-0.06667413326799275,-0.10170055482633922,-0.06902858641043601,-0.02144331675363967
1,1514894400,1.78226364,0.7834,0.99886364,11,1,11.0,42,3,45,0.9295,0.9525,0.9135,0.9135,6018.09,5626.28,-0.07310847182063836,-0.04866517198128101,-0.09047190316407568,-0.09047190316407568,0.01736343134343732
2,1514898000,1.47289167,1.5306,-0.05770833,12,2,6.0,48,2,50,0.9243,0.9515,0.917,0.9295,7455.07,6924.94,-0.07871858471140511,-0.04971559224593286,-0.08664780672567216,-0.07310847182063836,-0.0056101128907667525
3,1514901600,1.02194359,2.2778,-1.25585641,39,2,19.5,83,5,88,0.9161,0.94,0.9006,0.9243,10101.38,9226.66,-0.08762974996097406,-0.06187540371808753,-0.10469407111466583,-0.07871858471140511,-0.008911165249568948
4,1514905200,1.042325,1.73615,-0.693825,12,4,3.0,44,3,47,0.8969,0.9242,0.8905,0.9161,10600.54,9593.54,-0.10881090585817961,-0.07882678054597102,-0.11597217625242076,-0.08762974996097406,-0.021181155897205553
5,1514908800,1.863335,1.5306,0.332735,20,2,10.0,80,6,86,0.8749,0.9134,0.861,0.8969,22059.71,19604.28,-0.13364568486991818,-0.09058137823123848,-0.14966077455440627,-0.10881090585817961,-0.02483477901173857
6,1514912400,1.99834118,1.04843333,0.94990784,17,3,5.6667,70,1,71,0.8904,0.8972,0.8568,0.8740000000000001,8558.36,7511.48,-0.11608447902080202,-0.1084764763360838,-0.15455075984859803,-0.13467490332660145,0.018590424305799436
7,1514916000,1.62705556,1.6278,-0.00074445,9,4,2.25,163,6,169,0.8369,0.903,0.8332,0.8871,21213.6,18320.39,-0.17805068994330872,-0.10203272556515161,-0.18248156959532005,-0.11979756345559583,-0.058253126487712886
8,1514919600,2.12071538,1.44572,0.67499538,13,5,2.6,132,4,136,0.8335,0.8565,0.79,0.8368,28019.33,23289.49,-0.18212157679128835,-0.1549009612179624,-0.23572233352106983,-0.1781701856714786,-0.003951391119809744
9,1514923200,1.76892222,1.13498,0.63394222,9,5,1.8,94,10,104,0.8279,0.8454,0.7872,0.8335,23463.86,19062.28,-0.18886290483737692,-0.16794539084944746,-0.23927293324409338,-0.18212157679128835,-0.006741328046088568
