	Name	Symbol	urlName
FALSE	Bitcoin	BTC	bitcoin
FALSE	Ethereum	ETH	ethereum
FALSE	Ripple	XRP	ripple
FALSE	Bitcoin Cash	BCH	bitcoin-cash
FALSE	EOS	EOS	eos
FALSE	Litecoin	LTC	litecoin
FALSE	Stellar	XLM	stellar
FALSE	Cardano	ADA	cardano
FALSE	IOTA	MIOTA	iota
	TRON	TRX	tron
	NEO	NEO	neo
	Tether	USDT	tether
	Dash	DASH	dash
	Monero	XMR	monero
	NEM	XEM	nem
	Binance Coin	BNB	binance-coin
	VeChain	VEN	vechain
	Ethereum Classic	ETC	ethereum-classic
	Qtum	QTUM	qtum
	OmiseGO	OMG	omisego
	Ontology	ONT	ontology
	ICON	ICX	icon
	Bytecoin	BCN	bytecoin-bcn
	Zcash	ZEC	zcash
	Lisk	LSK	lisk
	Zilliqa	ZIL	zilliqa
	Decred	DCR	decred
	Aeternity	AE	aeternity
	Bitcoin Gold	symbolName[i](Bitcoin Gold)	bitcoin-gold
	Bytom	symbolName[i](Bytom)	bytom
	0x	ZRX	0x
	Siacoin	SC	siacoin
	Steem	STEEM	steem
	Verge	XVG	verge
	BitShares	BTS	bitshares
	Nano	NANO	nano
	Bitcoin Diamond	BCD	bitcoin-diamond
	Augur	REP	augur
	Maker	MKR	maker
	RChain	RHOC	rchain
	Waves	WAVES	waves
	Wanchain	WAN	wanchain
	Dogecoin	DOGE	dogecoin
	Golem	GNT	golem-network-tokens
	Stratis	STRAT	stratis
	Populous	PPT	populous
	Bitcoin Private	BTCP	bitcoin-private
	DigiByte	DGB	digibyte
	Waltonchain	WTC	waltonchain
	Status	SNT	status
	Nebulas	NAS	nebulas-token
	Aion	AION	aion
	Hshare	HSR	hshare
	IOST	IOST	iostoken
	DigixDAO	DGD	digixdao
	KuCoin Shares	KCS	kucoin-shares
	Huobi Token	HT	huobi-token
	Loopring	LRC	loopring
	Basic Attention Token	BAT	basic-attention-token
	Komodo	KMD	komodo
	GXChain	GXS	gxchain
	Ardor	ARDR	ardor
	WaykiChain	WICC	waykichain
	Ark	ARK	ark
	aelf	ELF	aelf
	Bancor	BNT	bancor
	Cryptonex	CNX	cryptonex
	MonaCoin	MONA	monacoin
	Elastos	ELA	elastos
	Bibox Token	BIX	bibox-token
	MaidSafeCoin	MAID	maidsafecoin
	PIVX	PIVX	pivx
	MOAC	MOAC	moac
	CyberMiles	symbolName[i](CyberMiles)	cybermiles
	Loom Network	LOOM	loom-network
	Ethos	ETHOS	ethos
	ReddCoin	RDD	reddcoin
	Dentacoin	DCN	dentacoin
	Veritaseum	VERI	veritaseum
	Gas	GAS	gas
	Kyber Network	symbolName[i](Kyber Network)	kyber-network
	Fusion	FSN	fusion
	FunFair	FUN	funfair
	Syscoin	SYS	syscoin
	QASH	QASH	qash
	All Sports	SOC	all-sports
	Kin	KIN	kin
	Nxt	NXT	nxt
	Cortex	CTXC	cortex
	Polymath	POLY	polymath-network
	Dropil	DROP	dropil
	Skycoin	SKY	skycoin
	Enigma	ENG	enigma-project
	Theta Token	THETA	theta-token
	Scry.info	DDD	scryinfo
	Nuls	NULS	nuls
	Mithril	MITH	mithril
	Substratum	SUB	substratum
	Emercoin	EMC	emercoin
	Decentraland	MANA	decentraland
	Dragonchain	DRGN	dragonchain
	ZCoin	XZC	zcoin
	Electroneum	ETN	electroneum
	eosDAC	EOSDAC	eosdac
	Power Ledger	POWR	power-ledger
	Centrality	CENNZ	centrality
	Holo	symbolName[i](Holo)	holo
	Storm	STORM	storm
	Factom	FCT	factom
	BnkToTheFuture	BFT	bnktothefuture
	Blocknet	BLOCK	blocknet
	Nexus	NXS	nexus
	iExec RLC	RLC	rlc
	ChainLink	LINK	chainlink
	Storj	STORJ	storj
	Gifto	GTO	gifto
	DeepBrain Chain	DBC	deepbrain-chain
	Byteball Bytes	GBYTE	byteball
	Monaco	MCO	monaco
	ZenCash	ZEN	zencash
	WAX	WAX	wax
	SALT	SALT	salt
	High Performance Blockchain	HPB	high-performance-blockchain
	Matrix AI Network	MAN	matrix-ai-network
	SmartCash	SMART	smartcash
	Bitcoin Interest	BCI	bitcoin-interest
	Achain	ACT	achain
	Civic	CVC	civic
	True Chain	TRUE	true-chain
	Iconomi	symbolName[i](Iconomi)	iconomi
	Paypex	PAYX	paypex
	TenX	PAY	tenx
	Nexo	NEXO	nexo
	GameCredits	GAME	gamecredits
	Neblio	NEBL	neblio
	Asch	XAS	asch
	Nucleus Vision	NCASH	nucleus-vision
	Revain	R	revain
	Request Network	REQ	request-network
	BitcoinDark	BTCD	bitcoindark
	Dent	DENT	dent
	SingularityNET	AGI	singularitynet
	Time New Bank	TNB	time-new-bank
	Ruff	RUFF	ruff
	Storiqa	STQ	storiqa
	Aragon	ANT	aragon
	Quantstamp	QSP	quantstamp
	Game.com	symbolName[i](Game.com)	game
